dataset,snr_db,seed,packet_index,payload_symbol_index,scope,dimension,snapshots,diagonal_loading,diagonal_cv,mean_abs_correlation,max_abs_correlation,condition_number
0_0_0_10_14_32,-26.0,42,3,8,symbol_null,4,1000,0.05,0.02341798770319006,0.010621570554414844,0.01788587288409437,1.0877618051738718
0_0_0_10_14_32,-26.0,42,3,9,symbol_null,4,1000,0.05,0.044633612164504,0.029380461574927418,0.0557667824827725,1.2240837884076952
0_0_0_10_14_32,-26.0,42,3,10,symbol_null,4,1000,0.05,0.024164154812087217,0.025675495132268314,0.0441108706066523,1.1673014783494793
0_0_0_10_14_32,-26.0,42,3,11,symbol_null,4,1002,0.05,0.010960663765437093,0.02594276503358557,0.03882883221692416,1.1477858695949297
0_0_0_10_14_32,-26.0,42,3,12,symbol_null,4,1000,0.05,0.02512380112440667,0.02201833278347831,0.06030390426872846,1.1489055677891349
0_0_0_10_14_32,-26.0,42,3,13,symbol_null,4,1000,0.05,0.028960536424424678,0.018578548014509644,0.041537210965229596,1.1427901301423826
0_0_0_10_14_32,-26.0,42,3,14,symbol_null,4,1001,0.05,0.04069648987191592,0.032040317510577974,0.0616131031287129,1.2270067915449216
0_0_0_10_14_32,-26.0,42,3,15,symbol_null,4,1000,0.05,0.05337933169203291,0.021621592338808806,0.03886204300094802,1.189826879574248
0_0_0_10_14_32,-26.0,42,3,16,symbol_null,4,1000,0.05,0.022240041496683117,0.02966664950713713,0.04974211770969284,1.172647810560692
0_0_0_10_14_32,-26.0,42,3,17,symbol_null,4,1000,0.05,0.027593026738819252,0.03790467849026211,0.06245748535359196,1.2148889744305043
0_0_0_10_14_32,-26.0,42,3,18,symbol_null,4,1000,0.05,0.024049254867947813,0.03169983484508884,0.04753956260535382,1.1755258115727352
0_0_0_10_14_32,-26.0,42,3,19,symbol_null,4,1000,0.05,0.03577247411037883,0.032834612249747826,0.06450980517257561,1.2147069165790396
0_0_0_10_14_32,-26.0,42,3,20,symbol_null,4,1000,0.05,0.015499684350575242,0.030260651557210267,0.051253757234178125,1.1760602398330893
0_0_0_10_14_32,-26.0,42,3,21,symbol_null,4,1000,0.05,0.01201680119644321,0.03953610482226397,0.05128206916296208,1.2183320094042989
0_0_0_10_14_32,-26.0,42,3,22,symbol_null,4,1001,0.05,0.032890557851480415,0.035842828384024514,0.07461002397966583,1.210315343613316
0_0_0_10_14_32,-26.0,42,3,23,symbol_null,4,1000,0.05,0.044914882940429036,0.03235078499239808,0.04272488794727337,1.2133463315628177
0_0_0_10_14_32,-26.0,42,3,24,symbol_null,4,1000,0.05,0.02649482006996441,0.027665240702803195,0.04976232233107237,1.1656073733850083
0_0_0_10_14_32,-26.0,42,3,25,symbol_null,4,1001,0.05,0.051776113600643534,0.025395284958385028,0.04996451021937532,1.2036345779446078
0_0_0_10_14_32,-26.0,42,3,26,symbol_null,4,1000,0.05,0.030632321874418278,0.03156580263365021,0.06684246403434091,1.1961768019338532
0_0_0_10_14_32,-26.0,42,3,27,symbol_null,4,1000,0.05,0.030247479988678976,0.033526036768963555,0.06311959364090405,1.209536719152808
0_0_0_10_14_32,-26.0,42,3,28,symbol_null,4,1000,0.05,0.04129265495125272,0.02926166053998053,0.05148404622831672,1.1939203292494325
0_0_0_10_14_32,-26.0,42,3,29,symbol_null,4,1000,0.05,0.010897628716436037,0.034791120887381184,0.06044631589472358,1.1801783815506717
0_0_0_10_14_32,-26.0,42,3,30,symbol_null,4,1000,0.05,0.02412604823571751,0.03161334969133946,0.046358151133316185,1.196234078214028
0_0_0_10_14_32,-26.0,42,3,31,symbol_null,4,1000,0.05,0.0393567703193363,0.025988141455161165,0.03971754516771665,1.178210197993347
0_0_0_10_14_32,-26.0,42,3,32,symbol_null,4,1000,0.05,0.03019087457025094,0.03057928294874331,0.055882051469392034,1.190504377541688
0_0_0_10_14_32,-26.0,42,3,33,symbol_null,4,1001,0.05,0.02751646371386997,0.027047180489117185,0.03469742952181721,1.1644912569824757
0_0_0_10_14_32,-26.0,42,3,34,symbol_null,4,1000,0.05,0.02017659006573009,0.016565226315828487,0.026826437903615868,1.10013044794323
0_0_0_10_14_32,-26.0,42,4,,packet_null,4,35006,0.05,0.0017978356890153216,0.011026939385169056,0.019031831474015243,1.0574505938092178
0_0_0_10_14_32,-26.0,42,4,0,symbol_null,4,1000,0.05,0.017545083999449873,0.027937004261247678,0.04042335065492196,1.1528097733661193
0_0_0_10_14_32,-26.0,42,4,1,symbol_null,4,1000,0.05,0.01794596178848757,0.025643816219188573,0.03235483070216086,1.1443135377632283
0_0_0_10_14_32,-26.0,42,4,2,symbol_null,4,1002,0.05,0.026397407620381345,0.017862565783412467,0.02893819684041635,1.1263824584520383
