dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,savaux_codec_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_codec_gain_vs_traditional_fft,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,savaux_codec_crc_valid,savaux_codec_success,savaux_codec_selected_source,savaux_codec_selection_variant,savaux_codec_base_crc_valid,savaux_codec_selected_beam_rank,savaux_codec_candidate_payload_count,savaux_codec_observed_crc_valid_count,savaux_codec_accepted_crc_valid_count,savaux_codec_accepted_crc_min_beam_rank,savaux_codec_accepted_crc_max_beam_rank,savaux_codec_accepted_crc_best_evidence_margin,savaux_codec_selected_evidence_margin,savaux_codec_selected_is_earliest_accepted_crc,savaux_codec_selected_source_is_argmax_fallback,savaux_codec_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_symbol_change_count,savaux_codec_symbol_fix_count,savaux_codec_symbol_break_count,winner_by_symbol_ser
0_0_0_10_14_8,-26.0,3,3,3,33,35,0.7714285714285715,0.4857142857142857,0.34285714285714286,0.11428571428571428,0.11428571428571428,0.4285714285714286,0.6571428571428571,0.6571428571428571,0.2285714285714286,0.2285714285714286,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,1.0,1.6857142857142857,0,0,0,savaux_paper
0_0_0_10_14_8,-26.0,4,4,4,33,35,0.8571428571428571,0.6285714285714286,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,1.0,3.1714285714285713,0,0,0,savaux_paper
0_0_0_10_14_8,-26.0,5,5,5,33,35,0.9714285714285714,1.0,0.8571428571428571,0.6571428571428571,0.6571428571428571,0.11428571428571432,0.3142857142857143,0.3142857142857143,0.19999999999999996,0.19999999999999996,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,0.9142857142857143,21.542857142857144,0,0,0,savaux_paper
0_0_0_10_14_8,-26.0,6,6,6,33,35,0.9142857142857143,0.8285714285714286,0.7714285714285715,0.6,0.6,0.1428571428571428,0.3142857142857143,0.3142857142857143,0.17142857142857149,0.17142857142857149,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,0.9142857142857143,18.942857142857143,0,0,0,savaux_paper
0_0_0_10_14_8,-26.0,7,7,7,33,35,0.9714285714285714,0.8857142857142857,0.8571428571428571,0.6857142857142857,0.6857142857142857,0.11428571428571432,0.2857142857142857,0.2857142857142857,0.17142857142857137,0.17142857142857137,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,0.8857142857142857,29.4,0,0,0,savaux_paper
0_0_0_10_14_8,-26.0,8,8,8,33,35,0.9428571428571428,0.8571428571428571,0.7428571428571429,0.5142857142857142,0.5142857142857142,0.19999999999999996,0.4285714285714286,0.4285714285714286,0.22857142857142865,0.22857142857142865,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,0.9142857142857143,20.142857142857142,0,0,0,savaux_paper
0_0_0_10_14_8,-26.0,9,9,9,33,35,1.0,0.8571428571428571,0.6857142857142857,0.5714285714285714,0.5714285714285714,0.3142857142857143,0.4285714285714286,0.4285714285714286,0.11428571428571432,0.11428571428571432,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,1.0,7.0,0,0,0,savaux_paper
0_0_0_10_14_16,-22.0,1,0,1,33,35,0.8285714285714286,0.34285714285714286,0.17142857142857143,0.08571428571428572,0.0,0.6571428571428573,0.7428571428571429,0.8285714285714286,0.08571428571428572,0.17142857142857143,0.08571428571428572,0,0,0,0,1,1,beam,savaux_codec,1,4,2048,1,1,4,4,1.0789756116781355,1.0789756116781355,1,0,1.0,1.2285714285714286,3,3,0,savaux_codec
0_0_0_10_14_16,-22.0,2,1,2,33,35,0.8285714285714286,0.2571428571428571,0.05714285714285714,0.08571428571428572,0.0,0.7714285714285715,0.7428571428571429,0.8285714285714286,-0.028571428571428574,0.05714285714285714,0.08571428571428572,0,0,0,0,1,1,beam,savaux_codec,1,3,2048,1,1,3,3,6.699776968739021,6.699776968739021,1,0,1.0,1.0857142857142856,3,3,0,savaux_codec
0_0_0_10_14_16,-22.0,3,2,3,33,35,0.7428571428571429,0.2857142857142857,0.05714285714285714,0.0,0.0,0.6857142857142857,0.7428571428571429,0.7428571428571429,0.05714285714285714,0.05714285714285714,0.0,0,0,0,1,1,1,savaux_hard_crc_preserved,savaux_hard_crc_preserved,1,-1,0,0,0,-1,-1,0.0,0.0,0,1,0.0,0.0,0,0,0,savaux_paper
0_0_0_10_14_16,-22.0,5,3,5,33,35,0.6571428571428571,0.22857142857142856,0.08571428571428572,0.08571428571428572,0.0,0.5714285714285714,0.5714285714285714,0.6571428571428571,0.0,0.08571428571428572,0.08571428571428572,0,0,0,0,1,1,beam,savaux_codec,1,0,2048,8,1,0,0,8.24940414600291,8.24940414600291,1,0,1.0,1.1714285714285715,3,3,0,savaux_codec
0_0_0_10_14_16,-22.0,6,4,6,33,35,0.6857142857142857,0.2,0.05714285714285714,0.0,0.0,0.6285714285714286,0.6857142857142857,0.6857142857142857,0.05714285714285714,0.05714285714285714,0.0,0,0,0,1,1,1,savaux_hard_crc_preserved,savaux_hard_crc_preserved,1,-1,0,0,0,-1,-1,0.0,0.0,0,1,0.0,0.0,0,0,0,savaux_paper
