packet_index,event_index,candidate_index,selected,candidate_values,candidate_payload_hex,score,signal_score,prior_score,score_mode,effective_kappa,kappa_source,kappa_source_line_rmse_pi,known_symbols,mean_phase_score,mean_amp_score,mean_profile_score,line_rmse_pi,line_r2,map_phase_ll,map_line_ll,map_amp_ll,map_profile_ll
1,1,96,0,6:60,404433221100600058303132333435363738393a3b3c3d3e3f4041424378563412,-0.093916019,-0.093916019,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.647099704,0.387591186,0.000000000,0.074878189,0.574175782,1.176797636,-0.031148573,-1.862705706,0.000000000
1,1,23,0,6:17,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,-0.098986479,-0.098986479,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.654790964,0.370577813,0.000000000,0.149630854,0.764388363,1.238327709,-0.124385513,-1.731878248,0.000000000
1,1,56,0,6:38,404433221100380058303132333435363738393a3b3c3d3e3f4041424378563412,-0.101583510,-0.101583510,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.626877957,0.374632445,0.000000000,0.121543004,0.308245976,1.015023659,-0.082070566,-1.571520709,0.000000000
1,1,16,0,6:10,404433221100100058303132333435363738393a3b3c3d3e3f4041424378563412,-0.109338046,-0.109338046,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.658735427,0.391278134,0.000000000,0.124283354,0.481029814,1.269883415,-0.085813067,-1.919511830,0.000000000
1,1,192,0,6:c0,404433221100c00058303132333435363738393a3b3c3d3e3f4041424378563412,-0.113088808,-0.113088808,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.686444799,0.288896428,0.000000000,0.096672286,0.427281559,1.491558392,-0.051919616,-2.300092987,0.000000000
1,1,70,0,6:46,404433221100460058303132333435363738393a3b3c3d3e3f4041424378563412,-0.118261896,-0.118261896,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.639739766,0.397217415,0.000000000,0.060275581,0.870670173,1.117918126,-0.020184142,-1.938246781,0.000000000
1,1,178,0,6:b2,404433221100b20058303132333435363738393a3b3c3d3e3f4041424378563412,-0.119453128,-0.119453128,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.651417279,0.358171202,0.000000000,0.115558112,0.938499194,1.211338232,-0.074187096,-1.925970692,0.000000000
1,1,83,0,6:53,404433221100530058303132333435363738393a3b3c3d3e3f4041424378563412,-0.122301411,-0.122301411,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.638257065,0.325758266,0.000000000,0.106083348,0.732665674,1.106056517,-0.062520426,-1.837776637,0.000000000
1,1,152,0,6:98,404433221100980058303132333435363738393a3b3c3d3e3f4041424378563412,-0.122446938,-0.122446938,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.666223052,0.275937688,0.000000000,0.138275521,0.274923745,1.329784415,-0.106222888,-2.008907990,0.000000000
1,1,33,0,6:21,404433221100210058303132333435363738393a3b3c3d3e3f4041424378563412,-0.123856784,-0.123856784,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.659272287,0.338694485,0.000000000,0.120330062,0.796959529,1.274178293,-0.080440688,-2.010905068,0.000000000
1,1,94,0,6:5e,4044332211005e0058303132333435363738393a3b3c3d3e3f4041424378563412,-0.127099813,-0.127099813,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.646662697,0.390043716,0.000000000,0.215212792,0.882200680,1.173301575,-0.257314145,-1.458840673,0.000000000
