dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_selected_offset_coherence,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_32,-20.0,7,0.3959183673469387,0.6040816326530614,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.12244897959183673,0.8775510204081632,0.8571428571428571,0.273469387755102,0.8571428571428571,0.020408163265306117,0.1428571428571428,0.0,0.0,0.9183673469387755,0.959519847040272,0.8975237243768847,0.41350231837310936
0_0_0_10_14_32,-21.0,7,0.5428571428571428,0.4571428571428572,0.0,0.15918367346938772,0.8408163265306123,0.42857142857142855,0.1346938775510204,0.8653061224489795,0.7142857142857143,0.4081632653061224,0.7142857142857143,0.024489795918367308,0.28571428571428575,0.0,0.0,0.8979591836734694,0.9523893568448984,0.9192749356592327,0.4017558756056313
0_0_0_10_14_32,-22.0,7,0.673469387755102,0.32653061224489793,0.0,0.24489795918367346,0.7551020408163266,0.0,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.5306122448979591,0.42857142857142855,0.10204081632653061,0.42857142857142855,0.0,0.0,0.8816326530612245,0.9446546393061312,0.8352546077391226,0.4370123726470269
0_0_0_10_14_32,-23.0,7,0.7755102040816327,0.22448979591836737,0.0,0.34285714285714286,0.6571428571428573,0.0,0.20816326530612242,0.7918367346938775,0.14285714285714285,0.5673469387755103,0.14285714285714285,0.13469387755102044,0.14285714285714285,0.0,0.0,0.8489795918367348,0.9325243643975298,0.6926471274853755,0.5079949997639222
0_0_0_10_14_32,-24.0,7,0.8530612244897959,0.14693877551020407,0.0,0.5142857142857143,0.48571428571428577,0.0,0.33469387755102037,0.6653061224489797,0.0,0.5183673469387755,0.0,0.17959183673469398,0.0,0.0,0.0,0.783673469387755,0.9206313536635208,0.8307663495968385,0.46694514654667935
0_0_0_10_14_32,-25.0,7,0.8979591836734694,0.1020408163265306,0.0,0.6489795918367347,0.35102040816326535,0.0,0.4448979591836735,0.5551020408163265,0.0,0.4530612244897959,0.0,0.20408163265306123,0.0,0.0,0.0,0.6897959183673469,0.9122234153892862,0.7686343768290536,0.4025047075406123
0_0_0_10_14_32,-26.0,7,0.9346938775510203,0.06530612244897961,0.0,0.763265306122449,0.236734693877551,0.0,0.5959183673469387,0.40408163265306124,0.0,0.3387755102040816,0.0,0.16734693877551032,0.0,0.0,0.0,0.5755102040816327,0.9022582594650731,0.5346311786323737,0.5526817809680123
mean_of_datasets,-12.0,28,0.02040816326530612,0.9795918367346937,0.9523809523809524,0.004081632653061224,0.9959183673469388,0.9523809523809524,0.0,1.0,1.0,0.02040816326530612,0.04761904761904764,0.004081632653061224,0.04761904761904764,0.0,0.0,1.0,0.992710648844414,0.9328149757713896,0.29871980064752895
mean_of_datasets,-13.0,28,0.02585034013605442,0.9741496598639455,0.9523809523809524,0.008163265306122448,0.9918367346938775,0.9523809523809524,0.0013605442176870747,0.998639455782313,0.9523809523809524,0.02448979591836735,0.0,0.006802721088435374,0.0,0.0,0.0,0.998639455782313,0.9909143444156848,0.9324668177683915,0.2995671635460642
mean_of_datasets,-14.0,28,0.034013605442176874,0.9659863945578232,0.9523809523809524,0.012244897959183673,0.9877551020408163,0.9523809523809524,0.008163265306122448,0.9918367346938775,0.9523809523809524,0.02585034013605442,0.0,0.004081632653061224,0.0,0.0,0.0,0.9945578231292517,0.9890863608571804,0.9292082104861343,0.2960481336644201
mean_of_datasets,-15.0,28,0.043042671614100185,0.9569573283858998,0.9220779220779222,0.017687074829931974,0.982312925170068,0.9523809523809524,0.008163265306122448,0.9918367346938775,0.9523809523809524,0.034879406307977735,0.030303030303030314,0.009523809523809526,0.0,0.0,0.0,0.9945578231292517,0.9863404419533656,0.9276403587778842,0.29255235099007665
mean_of_datasets,-16.0,28,0.05407544836116265,0.9459245516388374,0.7917748917748918,0.02585034013605442,0.9741496598639455,0.9523809523809524,0.013605442176870748,0.9863945578231292,0.9523809523809524,0.040470006184291904,0.1606060606060606,0.012244897959183675,0.0,0.0,0.0,0.9931972789115647,0.9834542581696014,0.9148480732621801,0.3044811459171723
mean_of_datasets,-17.0,28,0.0868769325912183,0.9131230674087817,0.5419913419913419,0.031292517006802724,0.9687074829931973,0.9523809523809524,0.021768707482993196,0.9782312925170068,0.9523809523809524,0.0651082251082251,0.41038961038961036,0.009523809523809526,0.0,0.0,0.0,0.982312925170068,0.979388369756032,0.8960386827065568,0.30196857083409195
mean_of_datasets,-18.0,28,0.14390847247990102,0.856091527520099,0.16363636363636366,0.03991341991341992,0.9600865800865801,0.8887445887445887,0.029931972789115645,0.9700680272108843,0.9523809523809524,0.11397649969078538,0.7887445887445886,0.009981447124304273,0.06363636363636364,0.0,0.0,0.9768707482993197,0.9751006746540544,0.8480330215288122,0.3187276066073546
mean_of_datasets,-19.0,28,0.24341372912801482,0.7565862708719852,0.0,0.044131106988249846,0.9558688930117502,0.8554112554112554,0.0363265306122449,0.963673469387755,0.919047619047619,0.20708719851576993,0.919047619047619,0.007804576376004946,0.06363636363636364,0.0,0.0,0.9741496598639455,0.9698390409297675,0.8142164523085024,0.325800402073438
mean_of_datasets,-20.0,28,0.3733580705009276,0.6266419294990725,0.0,0.06805194805194804,0.931948051948052,0.6502164502164502,0.04540507111935683,0.9545949288806431,0.8584415584415584,0.3279529993815708,0.8584415584415584,0.02264687693259122,0.20822510822510823,0.0,0.0,0.9727891156462585,0.9633648219296999,0.8783057040586285,0.3147225676182128
mean_of_datasets,-21.0,28,0.5187012987012988,0.4812987012987013,0.0,0.12024737167594308,0.879752628324057,0.4004329004329004,0.06688930117501546,0.9331106988249843,0.61991341991342,0.45181199752628326,0.61991341991342,0.05335807050092763,0.21948051948051947,0.0,0.0,0.9603586889301176,0.9551496136549117,0.8860575623936596,0.3095006365906333
mean_of_datasets,-22.0,28,0.6463079777365492,0.3536920222634508,0.0,0.2042300556586271,0.795769944341373,0.09999999999999999,0.1044155844155844,0.8955844155844157,0.36406926406926404,0.5418923933209647,0.36406926406926404,0.09981447124304267,0.26406926406926406,0.0,0.0,0.9349165120593693,0.9461355402297217,0.8482894596300752,0.3117176683419676
mean_of_datasets,-23.0,28,0.7674211502782932,0.23257884972170687,0.0,0.3322077922077922,0.6677922077922078,0.0,0.1828076685219542,0.8171923314780457,0.11428571428571428,0.584613481756339,0.11428571428571428,0.14940012368583797,0.11428571428571428,0.0,0.0,0.8902659245516388,0.934877325600036,0.7372159057847939,0.3637886833171744
mean_of_datasets,-24.0,28,0.8489424860853433,0.15105751391465677,0.0,0.5058874458874459,0.4941125541125541,0.0,0.3121706864564007,0.6878293135435992,0.0,0.5367717996289425,0.0,0.1937167594310452,0.0,0.0,0.0,0.8184539270253556,0.922018360509874,0.7145693912992009,0.39916836491721747
mean_of_datasets,-25.0,28,0.9098824984539271,0.090117501546073,0.0,0.6491403834260977,0.35085961657390236,0.0,0.4472603586889301,0.5527396413110699,0.0,0.46262213976499705,0.0,0.20188002473716768,0.0,0.0,0.0,0.7141743970315398,0.9114288042242097,0.6586577582961268,0.4225862627159848
mean_of_datasets,-26.0,28,0.9474953617810759,0.05250463821892395,0.0,0.7760667903525048,0.22393320964749533,0.0,0.5972541743970315,0.4027458256029684,0.0,0.3502411873840445,0.0,0.17881261595547324,0.0,0.0,0.0,0.5943475572047,0.9019472424626694,0.5213703450881483,0.5061041508021411
