frame_index,packet_index,event_index,copy_index,transmission_index,stage,frame_symbol_index,stage_symbol_index,start_sample,raw_symbol_start_sample,raw_frame_start_sample,raw_data_start_sample,soft_frame_start_sample,soft_data_start_sample,boundary_refinement_source,sf,bw,os_factor,cfo_int,cfo_frac,sto_frac,sfo_hat,sfo_cum_before,sfo_sample_adjust_after,raw_fft_bin,symbol_value,peak_margin_db,header_valid,payload_len,payload_cr,payload_has_crc,payload_ldro,relative_delay_samples,relative_cfo_hz,relative_phase_rad,xcopy_alignment_score,soft_boundary_score,soft_boundary_rank,soft_hard_pattern_valid,raw_fft_bin_uncorrected,cfo_int_uncorrected,bin_offset_correction,header_consensus_suggested_bin_correction,header_consensus_expected_matches,header_consensus_valid_count
1,1,1,1,1,payload,31,23,30510517,30510517,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.06162587766467228,0,656,655,6.715017244967961,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,656,-27,0,0,11,11
1,1,1,1,1,payload,32,24,30514613,30514613,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.05464505367162152,0,889,888,9.083947163524984,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,889,-27,0,0,11,11
1,1,1,1,1,payload,33,25,30518709,30518709,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.047664229678570764,0,66,65,6.710743022286353,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,66,-27,0,0,11,11
1,1,1,1,1,payload,34,26,30522805,30522805,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.04068340568552001,0,586,585,5.867221547825877,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,586,-27,0,0,11,11
1,1,1,1,1,payload,35,27,30526901,30526901,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.03370258169246925,0,425,424,7.356866601332311,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,425,-27,0,0,11,11
1,1,1,1,1,payload,36,28,30530997,30530997,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.026721757699418494,0,860,859,8.790842122696327,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,860,-27,0,0,11,11
1,1,1,1,1,payload,37,29,30535093,30535093,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.019740933706367737,0,553,552,8.482325949770368,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,553,-27,0,0,11,11
1,1,1,1,1,payload,38,30,30539189,30539189,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.012760109713316979,0,629,628,7.967569632214522,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,629,-27,0,0,11,11
1,1,1,1,1,payload,39,31,30543285,30543285,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,0.00577928572026622,0,759,758,5.659600923106644,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,759,-27,0,0,11,11
1,1,1,1,1,payload,40,32,30547381,30547381,30235171,30383540,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.1819972994996455,0.0,-0.0069808239930507585,-0.0012015382727845383,0,494,493,5.458919653251119,1,33,3,1,0,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,328.52934013647564,1,1,494,-27,0,0,11,11
