method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db
information_8,8,70,17,0.24285714285714285,5,1,1.084050399989792,15.486434285568455,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,16,0.22857142857142856,5,0,1.1704324000020279,16.720462857171828,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,16,0.22857142857142856,5,0,0.3500694000031217,5.000991428616024,22,0.3142857142857143,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,22,0.3142857142857143,0,0,0.24437510001007468,3.491072857286781,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,20,0.2857142857142857,3,1,0.9747103000117932,13.92443285731133,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,21,0.3,3,2,0.9810816999961389,14.015452857087698,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,21,0.3,3,2,1.063414299987926,15.19163285697037,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,21,0.3,3,2,0.3508621999862953,5.012317142661361,24,0.34285714285714286,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,21,0.3,0,0,0.2507867000203987,3.582667143148553,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,17,0.24285714285714285,4,0,1.040206899993791,14.860098571339872,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,17,0.24285714285714285,4,0,1.0735364000065601,15.336234285808002,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,17,0.24285714285714285,4,0,1.1617243000036979,16.596061428624257,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,17,0.24285714285714285,4,0,0.33548700001483667,4.792671428783381,21,0.3,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,23,0.32857142857142857,0,0,0.2815801999931864,4.022574285616948,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,20,0.2857142857142857,3,0,1.0983818999811774,15.691169999731105,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,19,0.2714285714285714,4,0,1.1314055000002554,16.162935714289365,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,19,0.2714285714285714,4,0,1.2425292000189074,17.750417143127247,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,19,0.2714285714285714,4,0,0.44137650000629947,6.305378571518564,24,0.34285714285714286,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
savaux,0,70,24,0.34285714285714286,0,0,0.3016171999988728,4.308817142841041,0,0.0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
hamming_8,8,70,21,0.3,3,0,1.2079776000027778,17.256822857182538,0,0.0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8,8,70,20,0.2857142857142857,4,0,1.2427048000135983,17.752925714479975,0,0.0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap,8,70,20,0.2857142857142857,5,1,1.3713122000081057,19.59017428583008,0,0.0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
information_8_wrap_gated,8,70,20,0.2857142857142857,5,1,0.49282709999533836,7.040387142790548,26,0.37142857142857144,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.5
