packet_index,frame_index,frame_symbol_index,payload_symbol_index,start_sample,gt_bin,ordinary_fft_bin,savaux_bin,gls_crossfit_bin,gls_offpacket_bin,dechirp_pnr_db,dechirp_gt_bin_power,dechirp_total_fft_energy,dechirp_residual_fft_energy,dechirp_gt_symbol_snr_db,savaux_margin_db,branch_color_mismatch,ordinary_fft_correct,savaux_correct,gls_crossfit_correct,gls_offpacket_correct
1,1,23,15,30477749,1023,1023,1023,1023,1023,18.441049612897093,6.633245499050805e-06,0.00015104732475123214,0.00014441407925218133,-13.378834646327526,12.779600606237674,0.14886530035563886,1,1,1,1
1,1,24,16,30481845,597,597,597,597,597,15.873553545733461,4.026991717595053e-06,0.00015036740436048384,0.00014634041264288878,-15.603835389144463,7.517020071241757,0.16648207007416702,1,1,1,1
1,1,25,17,30485941,562,562,562,562,562,18.245767957239917,7.103513397067754e-06,0.00015424940216087786,0.0001471458887638101,-13.162749286085552,10.826948239861956,0.14938438057357326,1,1,1,1
1,1,26,18,30490037,827,827,827,827,827,17.496057121244824,5.297385358123694e-06,0.00015037020472970068,0.00014507281937157699,-14.375244844663285,13.100925495490593,0.1593239423009391,1,1,1,1
1,1,27,19,30494133,890,890,890,890,890,16.997868554644594,4.8385852788198854e-06,0.00014499336191750833,0.00014015477663868845,-14.618895038303663,12.487703070023134,0.17616895408752217,1,1,1,1
1,1,28,20,30498229,174,174,174,174,174,17.272625724560882,5.117401344487875e-06,0.00015066824950570236,0.00014555084816121448,-14.539652616294658,11.893984648189655,0.1690418244100581,1,1,1,1
1,1,29,21,30502325,267,267,267,267,267,13.084529320928404,7.167823158923817e-06,0.0005033078811183369,0.000496140057959413,-18.40217010965653,8.578957382394544,0.16419041373871154,1,1,1,1
1,1,30,22,30506421,917,781,917,917,917,11.302028344518254,4.6774437338012996e-06,0.0005676512853808149,0.0005629738416470136,-20.80479644040696,7.7025527216439995,0.14091197762023264,0,1,1,1
1,1,31,23,30510517,656,656,656,656,656,17.627636110678488,5.33631787667197e-06,0.00014604767181803459,0.00014071135394136262,-14.210874499241722,10.987068323902779,0.1662890685417146,1,1,1,1
1,1,32,24,30514613,889,889,889,889,889,18.86382033332405,7.443618001376463e-06,0.00014615478237236206,0.0001387111643709856,-12.703273398108394,12.866472055171851,0.1607551322824639,1,1,1,1
1,1,33,25,30518709,66,66,66,66,66,17.890596653170785,6.186926349721416e-06,0.00015757907716545616,0.00015139215081573474,-13.886284128780886,11.895323859280591,0.16050817714304075,1,1,1,1
1,1,34,26,30522805,586,586,586,586,586,18.224915758268924,6.067508579550443e-06,0.00014405545167882203,0.0001379879430992716,-13.568307418324572,11.95393377802155,0.18702565147075773,1,1,1,1
1,1,35,27,30526901,425,425,425,425,425,18.225227570046062,6.316551306548507e-06,0.000144033098072326,0.0001377165467657775,-13.385060961888621,8.825345653503291,0.16218847928865548,1,1,1,1
1,1,36,28,30530997,860,860,860,860,860,18.656412711684393,6.711104280802266e-06,0.0001426593094289284,0.00013594820514812613,-13.06579491028736,13.226014924847496,0.14620213101186041,1,1,1,1
1,1,37,29,30535093,553,553,553,553,553,18.647948195335154,7.421969821446806e-06,0.00015367939662613535,0.00014625742680468855,-12.945987442233431,10.97182028213886,0.1354317149254604,1,1,1,1
1,1,38,30,30539189,629,629,629,629,629,17.584850911304137,5.4829516227296315e-06,0.0001448489817992182,0.00013936603017648857,-14.0514251536913,11.978515768507197,0.12166707980762496,1,1,1,1
