dataset,snr_db,seed,packet_index,payload_symbol_index,gt_bin,raw_fft_bin,is_gt,is_savaux,savaux_ok,candidate_rank,gt_savaux_rank,savaux_margin_db,distance_to_gt,distance_to_savaux,savaux_power,log_savaux_power,best_pattern_power,mean_pattern_power,coherent_pattern_power,whitened_pattern_power,stable_pattern_power,hybrid_mean_power,pattern_consistency,mean_gain_vs_savaux,coherent_gain_vs_savaux,whitened_gain_vs_savaux,stable_gain_vs_savaux,hybrid_gain_vs_savaux
0_0_0_10_14_16,-25.0,42,1,5,468,767,0,0,1,5,1,3.70653383793899,299,299,0.45977287437432324,-0.7770226627945049,0.07654211594209887,0.040123752351757386,0.03072544420255442,0.09054684476480378,0.3520788802001863,0.07382220146645412,0.7657669684826641,0.08726863759929149,0.06682744005802169,0.19693820538678677,0.7657669684826641,0.160562324532334
0_0_0_10_14_16,-25.0,42,1,5,468,209,0,0,1,6,1,3.70653383793899,259,259,0.4430372480189959,-0.8141014311646478,0.10001099503184732,0.055347228470573204,0.03735566310988311,0.10834346216200935,0.2990203961328714,0.0930962031333698,0.6749328582865576,0.12492680630816871,0.08431720645818346,0.24454707283971744,0.6749328582865575,0.21013177458473686
0_0_0_10_14_16,-25.0,42,1,5,468,1013,0,0,1,7,1,3.70653383793899,479,479,0.4381928641988999,-0.8250961363009207,0.05012784407031644,0.023702680970574076,0.01450537126939904,0.04254407040344049,0.26816165608849496,0.049148970870013166,0.6119717549000839,0.05409189173791567,0.0331027099127176,0.09708982934082955,0.6119717549000839,0.11216287366948993
0_0_0_10_14_16,-25.0,42,1,5,468,971,0,0,1,8,1,3.70653383793899,503,503,0.4247986885056889,-0.8561398963809983,0.05102068839872149,0.018654165433591857,0.012491796309242815,0.035997114087870416,0.2844672257323702,0.04075000438312155,0.6696518455201413,0.043912954390729106,0.02940639094999354,0.08473923075068143,0.6696518455201412,0.0959278017699808
0_0_0_10_14_16,-25.0,42,1,6,89,89,1,1,1,1,1,1.0416768788528876,0,0,0.9455819487659802,-0.05595472222700213,0.10721904449384849,0.06666536995191555,0.05926036620343138,0.17357703576509986,0.8405493376792723,0.12937489590443427,0.8889227832407551,0.07050194860309712,0.06267078837616176,0.18356635931092422,0.8889227832407551,0.1368203951791522
0_0_0_10_14_16,-25.0,42,1,6,89,237,0,0,1,2,1,1.0416768788528876,148,148,0.7439289935181392,-0.2958096875233245,0.1363956074101038,0.06442283643336852,0.05144105104281638,0.15131476452558282,0.5940205592682664,0.11875796659814793,0.7984909372318776,0.08659809873615,0.0691477970223271,0.20339947205175476,0.7984909372318776,0.15963615833350667
0_0_0_10_14_16,-25.0,42,1,6,89,726,0,0,1,3,1,1.0416768788528876,387,387,0.6869726125387956,-0.37546085285458186,0.09036491478397277,0.037808174823597766,0.02584344767791791,0.07522896116058711,0.46957412917028823,0.07805920793646028,0.683541265837246,0.05503592739144694,0.0376193274756764,0.10950794804259928,0.683541265837246,0.11362783102514443
0_0_0_10_14_16,-25.0,42,1,6,89,462,0,0,1,4,1,1.0416768788528876,373,373,0.6181520328762282,-0.48102084388908856,0.13635072346602803,0.0754378248652382,0.05216510503628698,0.1495248710186864,0.42745089457426455,0.1276337982904536,0.6914980002336294,0.122037655549283,0.08438879476552967,0.24189012260132056,0.6914980002336294,0.20647638687942252
0_0_0_10_14_16,-25.0,42,1,6,89,505,0,0,1,5,1,1.0416768788528876,416,416,0.6016841869012666,-0.5080225778037398,0.08742391634999752,0.04917060595451339,0.03892453719394192,0.11417780388094788,0.4763064854988897,0.09196473414521056,0.7916220766111796,0.08172161912339246,0.06469263783448782,0.18976367730216565,0.7916220766111796,0.15284552286281294
0_0_0_10_14_16,-25.0,42,1,6,89,67,0,0,1,6,1,1.0416768788528876,22,22,0.5574203297592248,-0.584435692121416,0.15121278377763187,0.04267481449259847,0.025143620884997154,0.07315323439570097,0.3284270971461847,0.08112868420992858,0.5891910998080161,0.07655769302678943,0.04510711135321854,0.13123531828718765,0.5891910998080161,0.14554310253623462
0_0_0_10_14_16,-25.0,42,1,6,89,967,0,0,1,7,1,1.0416768788528876,146,146,0.541315899891984,-0.6137522520802382,0.12609735564780403,0.06010021235700395,0.03716016060645788,0.10536700507141307,0.33469741603119646,0.10411653367343171,0.6183033162299187,0.11102613532873604,0.06864782766194923,0.19464975089857578,0.6183033162299187,0.19233969239441787
0_0_0_10_14_16,-25.0,42,1,6,89,525,0,0,1,8,1,1.0416768788528876,436,436,0.5217142662768879,-0.6506352235793786,0.18611567739599957,0.06274980642140132,0.040704201949063434,0.11925183509449488,0.33842276279914074,0.10655343896985026,0.6486745421286422,0.12027619422639729,0.0780201052187839,0.22857691039486489,0.6486745421286422,0.20423715788001753
0_0_0_10_14_16,-25.0,42,1,7,713,713,1,1,1,1,1,0.1355638725972284,0,0,0.649796074392853,-0.4310966970198438,0.11910201580776242,0.08187549561367402,0.06493898198438094,0.1910516100002645,0.5153812536002726,0.1374230956008056,0.7931430704345622,0.12600183171339663,0.0999374796855424,0.294017796550674,0.7931430704345622,0.21148649709712233
0_0_0_10_14_16,-25.0,42,1,7,713,998,0,0,1,2,1,0.1355638725972284,285,285,0.6298261612237788,-0.46231143223893606,0.038806914938700726,0.022541157740858343,0.017684515695967296,0.05125513220935547,0.4941259345212592,0.051824764544541116,0.7845433628243572,0.03578949101933131,0.02807840763807832,0.08137980821527736,0.7845433628243572,0.08228423608800786
0_0_0_10_14_16,-25.0,42,1,7,713,734,0,0,1,3,1,0.1355638725972284,21,21,0.5367182667710182,-0.6222819650310153,0.09418296955292715,0.04354721790108528,0.026985166789243786,0.07840375984557606,0.33259144087110126,0.08159375215249086,0.6196760227149037,0.08113608311316144,0.05027808528222974,0.14607991696885117,0.6196760227149037,0.15202343054834289
0_0_0_10_14_16,-25.0,42,1,7,713,856,0,0,1,4,1,0.1355638725972284,143,143,0.4674268157003816,-0.7605124864640824,0.16026337723113382,0.05451483288919477,0.03437414013008307,0.10232635362380826,0.29473436882951726,0.0932855593118175,0.6305465560162483,0.11662752554645588,0.07353908457001476,0.21891417048995104,0.6305465560162483,0.19957254521660375
0_0_0_10_14_16,-25.0,42,1,7,713,900,0,0,1,5,1,0.1355638725972284,187,187,0.43106712514032,-0.8414914582200725,0.05226138009664886,0.02104761710956748,0.006273063790825955,0.017630260971396035,0.1284759010987515,0.04477529199887203,0.29804151976778637,0.04882677402670433,0.014552405936277237,0.040899108150864144,0.29804151976778637,0.1038708112670315
0_0_0_10_14_16,-25.0,42,1,7,713,221,0,0,1,6,1,0.1355638725972284,492,492,0.42905346295356495,-0.8461737455494478,0.11112879839246052,0.037748754980591444,0.01503985534783972,0.04448182298879869,0.17094343966123096,0.06931142491088496,0.3984199043272414,0.08798147140156486,0.0350535694183814,0.10367431294596686,0.3984199043272414,0.1615449609327272
0_0_0_10_14_16,-25.0,42,1,7,713,868,0,0,1,7,1,0.1355638725972284,155,155,0.42661935578598786,-0.8518631017613573,0.0919127171978882,0.04181120005291858,0.023139388872354255,0.06885864926197155,0.23610207699159655,0.07472735550008869,0.5534256094794638,0.09800586749255003,0.05423895694962807,0.16140535662079583,0.5534256094794638,0.175161662232633
