scenario,target_tx_dbm,trial,symbol_index,gt_bin,branch0_bin,savaux_bin,equal8_bin,gls8_direct_bin,gls8_cg_wrap_bin,conditional_gls_bin,savaux_margin_db,branch_color_mismatch,conditional_backend_ran
thermal_only,-58.0,1,30,467,467,467,467,467,467,467,7.230951429680696,1.275314144275183,0
thermal_only,-58.0,1,31,410,410,410,410,410,410,410,4.105432267782318,1.2891459098941365,0
thermal_only,-58.0,1,32,199,199,199,199,199,199,199,7.96522404933364,1.267328597056267,0
thermal_only,-58.0,1,33,1020,1020,1020,1020,1020,1020,1020,5.518051610552163,1.2805617354331862,0
thermal_only,-58.0,1,34,142,142,142,142,142,142,142,4.966762423234355,1.2621413334004865,0
thermal_only,-58.0,1,35,619,619,619,619,619,619,619,5.433783864720122,1.2599337057963869,0
thermal_only,-58.0,1,36,426,426,426,426,426,426,426,3.99524444119495,1.2604006081983075,0
thermal_only,-58.0,1,37,84,84,84,84,84,84,84,4.964660525872305,1.2717574305530186,0
thermal_only,-58.0,1,38,829,829,829,829,829,829,829,5.680923813544954,1.280684484427402,0
thermal_only,-58.0,1,39,361,361,361,361,361,361,361,8.373773792542504,1.2628640357486605,0
thermal_only,-58.0,1,40,574,574,574,574,574,574,574,6.722108553179423,1.28344682609545,0
thermal_only,-58.0,1,41,736,736,736,736,736,736,736,5.787042137037336,1.2743487684764863,0
thermal_only,-58.0,1,42,520,520,520,520,520,520,520,5.593717128617744,1.2739804220792448,0
thermal_only,-58.0,1,43,973,973,973,973,973,973,973,7.0236706754412594,1.288616261917185,0
thermal_only,-58.0,1,44,555,555,555,555,555,555,555,5.467170127458249,1.2722110961372814,0
thermal_only,-58.0,1,45,437,437,437,437,437,437,437,5.843054014709091,1.2738361523926156,0
thermal_only,-58.0,1,46,981,981,981,981,981,981,981,5.927636972106609,1.2968584307584807,0
thermal_only,-58.0,1,47,132,132,132,132,132,132,132,6.443982639764284,1.2725632168146181,0
thermal_only,-58.0,1,48,799,799,799,799,799,799,799,7.977978865304919,1.26791489944893,0
thermal_only,-58.0,1,49,1010,1010,1010,1010,1010,1010,1010,4.300540857088928,1.2747597512303317,0
thermal_only,-60.0,0,0,596,596,596,596,596,596,596,3.423250522721406,1.2907661816416602,0
thermal_only,-60.0,0,1,975,975,975,975,975,975,975,4.368616278622378,1.294757137042962,0
thermal_only,-60.0,0,2,938,938,938,938,938,938,938,2.5210303184729757,1.2792558337957576,0
thermal_only,-60.0,0,3,11,11,11,11,11,11,11,2.838536954920665,1.2913681978780767,0
thermal_only,-60.0,0,4,664,664,664,664,664,664,664,2.287234866560048,1.2797698801727588,0
thermal_only,-60.0,0,5,67,67,67,67,67,67,67,3.117461082857029,1.2760580069691287,0
thermal_only,-60.0,0,6,336,336,336,336,336,336,336,5.5432230936053,1.263496311034517,0
thermal_only,-60.0,0,7,207,207,207,207,207,207,207,1.1843958638780951,1.285385375494363,0
thermal_only,-60.0,0,8,261,261,261,261,261,261,261,4.938546032179815,1.2753647679450177,0
thermal_only,-60.0,0,9,540,540,540,540,540,540,540,5.592848873666595,1.280179495830467,0
thermal_only,-60.0,0,10,499,499,499,499,499,499,499,6.201868586643683,1.2621263936259894,0
thermal_only,-60.0,0,11,475,475,475,475,475,475,475,4.904188500989525,1.2861779417445767,0
thermal_only,-60.0,0,12,596,986,986,986,986,596,596,0.06850471195738006,1.2691385991757171,1
thermal_only,-60.0,0,13,229,229,229,229,229,229,229,4.158830941652011,1.2647949482841676,0
thermal_only,-60.0,0,14,993,993,993,993,993,993,993,4.815451358186868,1.2919582303563033,0
thermal_only,-60.0,0,15,993,993,993,993,993,993,993,7.085473534644503,1.2818337267888,0
thermal_only,-60.0,0,16,597,597,597,597,597,597,597,5.961408574107767,1.2557300702934562,0
thermal_only,-60.0,0,17,758,758,758,758,758,758,758,4.243768854977016,1.263533289855572,0
thermal_only,-60.0,0,18,296,296,296,296,296,296,296,2.6852203403269925,1.2836044443142962,0
thermal_only,-60.0,0,19,478,478,478,478,478,478,478,4.456215040502663,1.2744190597976848,0
thermal_only,-60.0,0,20,79,79,79,79,79,79,79,5.8139659281997265,1.2859151872819155,0
thermal_only,-60.0,0,21,77,77,77,77,77,77,77,5.008858788879803,1.2790659936883642,0
thermal_only,-60.0,0,22,8,8,8,8,8,8,8,4.926595244839643,1.2732752414808635,0
thermal_only,-60.0,0,23,301,301,301,301,301,301,301,3.059909928328878,1.2754262492939135,0
thermal_only,-60.0,0,24,881,881,881,881,881,881,881,2.276496789362689,1.2765604765210634,0
thermal_only,-60.0,0,25,988,988,988,988,988,988,988,3.1541114444525347,1.2769963616381053,0
thermal_only,-60.0,0,26,178,178,178,178,178,178,178,3.8590476189414296,1.2751247678905546,0
thermal_only,-60.0,0,27,929,929,929,929,929,929,929,4.723981375642902,1.2819063726492845,0
thermal_only,-60.0,0,28,360,360,360,360,360,360,360,4.276596365681712,1.2908719626471374,0
thermal_only,-60.0,0,29,115,115,115,115,115,115,115,3.6476576628355284,1.2825879657784791,0
thermal_only,-60.0,0,30,919,919,919,919,919,919,919,5.250950415024923,1.29056591631137,0
thermal_only,-60.0,0,31,540,540,540,540,540,540,540,4.994303904580158,1.3017509025665948,0
thermal_only,-60.0,0,32,332,332,332,332,332,332,332,4.222124533496641,1.2815322868099415,0
thermal_only,-60.0,0,33,292,292,292,292,292,292,292,4.239433522760341,1.2631493594042165,0
thermal_only,-60.0,0,34,193,193,193,193,193,193,193,1.7128858085680319,1.2590832922576713,0
thermal_only,-60.0,0,35,635,635,635,635,635,635,635,5.160610137989129,1.294613567318526,0
thermal_only,-60.0,0,36,286,286,286,286,286,286,286,2.893152579820002,1.2807994933360887,0
thermal_only,-60.0,0,37,446,446,446,446,446,446,446,5.8460507279733145,1.294577328496258,0
thermal_only,-60.0,0,38,562,562,562,562,562,562,562,4.646480253339432,1.2755340825588386,0
thermal_only,-60.0,0,39,23,23,23,23,23,23,23,2.6134020394760658,1.2697147081508307,0
thermal_only,-60.0,0,40,87,87,87,87,87,87,87,4.286203474466958,1.2750373859320305,0
thermal_only,-60.0,0,41,249,249,249,249,249,249,249,3.265493577332652,1.2898626725343132,0
thermal_only,-60.0,0,42,114,114,114,114,114,114,114,4.772705963231558,1.2785194351147817,0
thermal_only,-60.0,0,43,105,105,105,105,105,105,105,3.852784813097086,1.2825462654358144,0
thermal_only,-60.0,0,44,116,116,116,116,116,116,116,4.058418540151641,1.2949902489721372,0
thermal_only,-60.0,0,45,869,869,869,869,869,869,869,3.2459206243955254,1.2801467189297047,0
thermal_only,-60.0,0,46,246,246,246,246,246,246,246,3.74811559177177,1.282407954052948,0
thermal_only,-60.0,0,47,673,673,673,673,673,673,673,1.310961525506118,1.2716306146298761,0
thermal_only,-60.0,0,48,265,265,265,265,265,265,265,6.937535634093756,1.298281087033406,0
thermal_only,-60.0,0,49,104,104,104,104,104,104,104,3.2310472868012385,1.2681929505906027,0
thermal_only,-60.0,1,0,165,165,165,165,165,165,165,4.966282637570803,1.2953949217664915,0
thermal_only,-60.0,1,1,738,738,738,738,738,738,738,4.350117492854523,1.2604394407158994,0
thermal_only,-60.0,1,2,921,921,921,921,921,921,921,3.237557529097439,1.2810514814121827,0
thermal_only,-60.0,1,3,319,319,319,319,319,319,319,4.761235405724399,1.2660325927648122,0
thermal_only,-60.0,1,4,205,205,877,890,877,890,890,0.03625229474024994,1.2804942684704688,1
thermal_only,-60.0,1,5,137,137,137,137,137,137,137,3.266640558485548,1.273543424091411,0
thermal_only,-60.0,1,6,974,974,974,974,974,974,974,5.521138009680366,1.2935162295393263,0
thermal_only,-60.0,1,7,951,951,951,951,951,951,951,2.729660381392929,1.2630345952087538,0
thermal_only,-60.0,1,8,939,939,939,939,939,939,939,6.106368660195854,1.2914304934231957,0
thermal_only,-60.0,1,9,967,967,967,967,967,967,967,4.979808881355902,1.2848479578259473,0
thermal_only,-60.0,1,10,372,372,372,372,372,372,372,5.069695184100568,1.2663638622788644,0
thermal_only,-60.0,1,11,43,43,43,43,43,43,43,4.199424121767722,1.3026938390207576,0
thermal_only,-60.0,1,12,829,829,829,829,829,829,829,3.1392167293554203,1.2634224160975616,0
thermal_only,-60.0,1,13,857,857,857,857,857,857,857,3.1368460893781207,1.271971258343686,0
thermal_only,-60.0,1,14,888,888,888,888,888,888,888,3.18722712718587,1.2774265910413614,0
thermal_only,-60.0,1,15,480,480,480,480,480,480,480,4.766697848779533,1.2761330555833243,0
thermal_only,-60.0,1,16,843,843,843,843,843,843,843,4.551460712018927,1.2918151919808134,0
thermal_only,-60.0,1,17,796,796,796,796,796,796,796,5.095643718492793,1.2743282311633437,0
thermal_only,-60.0,1,18,658,658,658,658,658,658,658,3.927934000207066,1.2779439887300046,0
thermal_only,-60.0,1,19,361,361,361,361,361,361,361,4.429447555560842,1.2936132974663357,0
thermal_only,-60.0,1,20,699,699,699,699,699,699,699,5.667581308236857,1.273624076033577,0
thermal_only,-60.0,1,21,115,115,115,115,115,115,115,4.069769996326749,1.2652140617323848,0
thermal_only,-60.0,1,22,235,235,235,235,235,235,235,5.468197246257963,1.269655236185985,0
thermal_only,-60.0,1,23,888,888,888,888,888,888,888,6.35111986931418,1.2809420539638827,0
thermal_only,-60.0,1,24,849,849,849,849,849,849,849,1.9707390494188903,1.2867731862971497,0
thermal_only,-60.0,1,25,221,221,221,221,221,221,221,2.9839997624469206,1.2597943187353808,0
thermal_only,-60.0,1,26,703,703,703,703,703,703,703,4.099885551913605,1.2812126181559342,0
thermal_only,-60.0,1,27,601,601,601,601,601,601,601,3.2544286603182524,1.2897735329792883,0
thermal_only,-60.0,1,28,20,20,20,20,20,20,20,2.0660041824221764,1.2790798898500169,0
thermal_only,-60.0,1,29,12,12,12,12,12,12,12,5.581371976399296,1.2873207672933964,0
thermal_only,-60.0,1,30,467,467,467,467,467,467,467,5.335515822466724,1.2755032296396935,0
thermal_only,-60.0,1,31,410,410,410,410,410,410,410,1.5374795892339623,1.2893719379282633,0
thermal_only,-60.0,1,32,199,199,199,199,199,199,199,6.216089707436685,1.2674333126185184,0
thermal_only,-60.0,1,33,1020,1020,1020,1020,1020,1020,1020,2.9790575205154783,1.2804570797583663,0
thermal_only,-60.0,1,34,142,142,142,142,142,142,142,2.7429792415074727,1.2622212125048402,0
thermal_only,-60.0,1,35,619,619,619,619,619,619,619,3.2135184582588536,1.259948814972721,0
thermal_only,-60.0,1,36,426,426,426,426,426,426,426,1.1846298042043144,1.2606239899048928,0
thermal_only,-60.0,1,37,84,84,84,84,84,84,84,2.7713902308907827,1.2720375423524195,0
thermal_only,-60.0,1,38,829,829,829,829,829,829,829,3.5834180980590786,1.2809530281376666,0
thermal_only,-60.0,1,39,361,361,361,361,361,361,361,6.8081413000757465,1.263088720106398,0
thermal_only,-60.0,1,40,574,574,574,574,574,574,574,4.740631685596702,1.2835672786530805,0
thermal_only,-60.0,1,41,736,736,736,736,736,736,736,3.580797179496029,1.274516490794319,0
thermal_only,-60.0,1,42,520,520,520,520,520,520,520,3.473121768596283,1.2741647996747545,0
thermal_only,-60.0,1,43,973,973,973,973,973,973,973,5.312468656404182,1.2887252879013606,0
thermal_only,-60.0,1,44,555,555,555,555,555,555,555,3.207129131843331,1.2722905635625734,0
thermal_only,-60.0,1,45,437,437,437,437,437,437,437,3.773687639263228,1.2741124707078497,0
thermal_only,-60.0,1,46,981,981,981,981,981,981,981,3.9113389181063103,1.296911207047275,0
thermal_only,-60.0,1,47,132,132,132,132,132,132,132,4.458058650743232,1.2726350474217825,0
thermal_only,-60.0,1,48,799,799,799,799,799,799,799,6.303749959695821,1.2680210239487202,0
thermal_only,-60.0,1,49,1010,1010,1010,1010,1010,1010,1010,1.524928873501902,1.2749218018275037,0
thermal_only,-62.0,0,0,596,596,596,596,596,596,596,1.2940307865103016,1.291428993172379,0
thermal_only,-62.0,0,1,975,975,975,975,975,975,975,2.5754194407012325,1.2947669321120983,0
thermal_only,-62.0,0,2,938,938,277,277,938,938,938,0.039705025286287846,1.2793183618343236,1
thermal_only,-62.0,0,3,11,11,11,11,11,11,11,0.5792478029447719,1.2915848702189063,0
thermal_only,-62.0,0,4,664,664,664,540,540,540,540,0.04678560470474419,1.279929861601001,1
thermal_only,-62.0,0,5,67,67,67,84,67,67,67,0.7092139500341489,1.2761948156447356,0
thermal_only,-62.0,0,6,336,336,336,336,336,336,336,3.7634419954932685,1.2634635708527526,0
thermal_only,-62.0,0,7,207,130,130,130,130,130,130,0.3988260662297402,1.2812982658911403,1
thermal_only,-62.0,0,8,261,261,261,261,261,261,261,3.108570642368912,1.275517361913915,0
thermal_only,-62.0,0,9,540,540,540,540,540,540,540,4.02109760074484,1.2802902429205893,0
thermal_only,-62.0,0,10,499,499,499,499,499,499,499,4.593074048348132,1.2621488001456374,0
thermal_only,-62.0,0,11,475,475,475,475,475,475,475,2.7944378367954714,1.286221244523208,0
thermal_only,-62.0,0,12,596,986,986,986,986,986,986,1.4912625969344435,1.269228586366985,0
thermal_only,-62.0,0,13,229,229,229,229,229,229,229,2.0800645103988566,1.2649038279380813,0
thermal_only,-62.0,0,14,993,993,993,993,993,993,993,3.1918324368826867,1.2920373491584445,0
thermal_only,-62.0,0,15,993,993,993,993,993,993,993,5.55505057780859,1.2817757957308216,0
thermal_only,-62.0,0,16,597,597,597,597,597,597,597,4.326178492784955,1.2557466162939324,0
thermal_only,-62.0,0,17,758,758,758,758,758,758,758,2.2167112688429196,1.263635697157357,0
thermal_only,-62.0,0,18,296,296,296,296,296,296,296,0.760331004908712,1.283628030070936,0
thermal_only,-62.0,0,19,478,478,478,478,478,478,478,2.657821843181277,1.2747138451261342,0
thermal_only,-62.0,0,20,79,79,79,79,79,79,79,4.254048356377178,1.2859641203841041,0
thermal_only,-62.0,0,21,77,77,77,77,77,77,77,3.2561031621278143,1.2791146118105732,0
thermal_only,-62.0,0,22,8,8,8,8,8,8,8,2.97048338054295,1.2733553572547243,0
thermal_only,-62.0,0,23,301,301,301,301,301,301,301,0.7255105558822248,1.2754186106410808,0
thermal_only,-62.0,0,24,881,881,881,881,881,881,881,0.37024349461914463,1.2767870447225234,1
thermal_only,-62.0,0,25,988,988,988,988,988,988,988,1.359094498141431,1.2803371876526488,0
thermal_only,-62.0,0,26,178,178,178,178,178,178,178,1.9023487930637462,1.2752633223943366,0
thermal_only,-62.0,0,27,929,929,929,929,929,929,929,2.843323805223969,1.2818759410489104,0
thermal_only,-62.0,0,28,360,360,360,360,360,360,360,2.1803848507502357,1.2909694739459139,0
thermal_only,-62.0,0,29,115,115,115,115,115,115,115,1.7641587725755197,1.2827032257903677,0
thermal_only,-62.0,0,30,919,919,919,919,919,919,919,3.3128379014076175,1.2907281158858723,0
thermal_only,-62.0,0,31,540,540,540,540,540,540,540,3.438483956656043,1.301941458770317,0
thermal_only,-62.0,0,32,332,332,332,332,332,332,332,2.1617694851366895,1.2815879969257853,0
thermal_only,-62.0,0,33,292,292,292,292,292,292,292,2.228153144603326,1.2633164985833971,0
thermal_only,-62.0,0,34,193,484,484,484,484,484,484,0.5970605852214323,1.259189175518592,0
thermal_only,-62.0,0,35,635,635,635,635,635,635,635,3.2830887215149525,1.2947317477751006,0
thermal_only,-62.0,0,36,286,286,286,286,286,286,286,0.563165252805432,1.2809908893253916,0
thermal_only,-62.0,0,37,446,446,446,446,446,446,446,4.149694828697154,1.2946751289597,0
thermal_only,-62.0,0,38,562,562,562,562,562,562,562,2.6597420700713825,1.2756266394089357,0
thermal_only,-62.0,0,39,23,23,23,477,23,23,23,0.0845459290394729,1.2697116430145887,1
thermal_only,-62.0,0,40,87,87,87,87,87,87,87,2.2034612856887827,1.2751110619648887,0
thermal_only,-62.0,0,41,249,249,249,249,249,249,249,0.9907627119300599,1.2899145606463487,0
thermal_only,-62.0,0,42,114,114,114,114,114,114,114,2.857023973736021,1.2786076095163987,0
thermal_only,-62.0,0,43,105,105,105,105,105,105,105,1.660157505155979,1.2827907944103087,0
thermal_only,-62.0,0,44,116,116,116,116,116,116,116,1.8192847445865958,1.2949994191149183,0
thermal_only,-62.0,0,45,869,869,869,869,869,869,869,1.4214838225861488,1.2801823760929147,0
thermal_only,-62.0,0,46,246,246,246,246,246,246,246,1.972943207759239,1.2824485752631702,0
thermal_only,-62.0,0,47,673,162,162,162,162,162,162,0.9711545992704063,1.2717683608450558,0
thermal_only,-62.0,0,48,265,265,265,265,265,265,265,5.4682584576912765,1.2983672652686524,0
thermal_only,-62.0,0,49,104,104,104,104,104,104,104,1.0755538160377638,1.2682338316766262,0
thermal_only,-62.0,1,0,165,165,165,165,165,165,165,3.068858207707279,1.2955735137925544,0
thermal_only,-62.0,1,1,738,738,738,738,738,738,738,2.0906039916956463,1.2605180115696568,0
thermal_only,-62.0,1,2,921,921,921,921,921,921,921,1.0033211498913284,1.281246396117598,0
thermal_only,-62.0,1,3,319,319,319,319,319,319,319,2.594872395276239,1.2661304857723723,0
thermal_only,-62.0,1,4,205,890,877,890,877,877,877,0.033607555690518764,1.2826048535531571,1
thermal_only,-62.0,1,5,137,137,137,137,137,137,137,0.9704237191953281,1.2736514007466417,0
thermal_only,-62.0,1,6,974,974,974,974,974,974,974,3.8733011114272204,1.2935327948861808,0
thermal_only,-62.0,1,7,951,951,951,615,268,268,268,0.2370073269030393,1.2632002706589918,1
thermal_only,-62.0,1,8,939,939,939,939,939,939,939,4.488007925761677,1.2921675194134195,0
thermal_only,-62.0,1,9,967,967,967,967,967,967,967,3.0948280321393593,1.2849224763527411,0
thermal_only,-62.0,1,10,372,372,372,372,372,372,372,3.239433118884688,1.266536769694243,0
thermal_only,-62.0,1,11,43,43,43,43,43,43,43,2.3964632079950174,1.3028630687892726,0
thermal_only,-62.0,1,12,829,829,829,829,829,829,829,0.8125338470230168,1.2634982921539142,0
thermal_only,-62.0,1,13,857,857,857,857,857,857,857,0.8277440587103492,1.272007409019246,0
thermal_only,-62.0,1,14,888,888,888,888,888,888,888,1.365670905057077,1.2773767073492106,0
thermal_only,-62.0,1,15,480,480,480,480,480,480,480,2.958593253782488,1.276246898595919,0
thermal_only,-62.0,1,16,843,843,843,843,843,843,843,2.748673759077118,1.2918275044652516,0
thermal_only,-62.0,1,17,796,796,796,796,796,796,796,3.442937653544065,1.2744403560428657,0
thermal_only,-62.0,1,18,658,658,658,658,658,658,658,1.7710283151874155,1.27805753231224,0
thermal_only,-62.0,1,19,361,361,361,361,361,361,361,2.7188375226722754,1.2936482275938488,0
thermal_only,-62.0,1,20,699,699,699,699,699,699,699,3.9694510230881885,1.2736477316613446,0
thermal_only,-62.0,1,21,115,115,115,115,115,115,115,2.3332200211445526,1.2652292395410563,0
thermal_only,-62.0,1,22,235,235,235,235,235,235,235,3.584114230862353,1.2696802690444264,0
thermal_only,-62.0,1,23,888,888,888,888,888,888,888,4.786230784314942,1.2810215693701903,0
thermal_only,-62.0,1,24,849,819,819,819,819,819,819,0.11752149339155099,1.2868844409619102,1
thermal_only,-62.0,1,25,221,221,221,221,221,221,221,0.8570713441103557,1.2599478533236437,0
thermal_only,-62.0,1,26,703,703,703,703,703,703,703,2.0659273248801955,1.2813230402160667,0
thermal_only,-62.0,1,27,601,601,601,601,601,601,601,1.2634394535114448,1.2898486680000112,0
thermal_only,-62.0,1,28,20,369,369,369,369,369,369,0.49293675705347817,1.2789555502143175,1
thermal_only,-62.0,1,29,12,12,12,12,12,12,12,3.879925502229562,1.2873783144430173,0
thermal_only,-62.0,1,30,467,467,467,467,467,467,467,3.4651544033597363,1.2756316436169106,0
thermal_only,-62.0,1,31,410,133,913,913,913,913,913,0.009757581441009322,1.289530849177178,1
thermal_only,-62.0,1,32,199,199,199,199,199,199,199,4.524742482198806,1.267492563099861,0
thermal_only,-62.0,1,33,1020,1020,1020,1020,30,1020,1020,0.24740529484059315,1.2803726435449074,1
thermal_only,-62.0,1,34,142,142,142,142,142,142,142,0.45437372647500135,1.264424285119965,1
