dataset,target_snr_db,packet_index,frame_index,event_index,payload_symbol_index,start_sample,loratrimmer_start_sample,origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,loratrimmer_raw_fft_bin,loratrimmer_signed_fft_bin,loratrimmer_symbol_value,loratrimmer_raw_hit,loratrimmer_symbol_hit,loratrimmer_gt_rank,loratrimmer_peak_power,loratrimmer_front_power,loratrimmer_tail_power,loratrimmer_peak_margin_db,loratrimmer_split_sample
0_0_0_10_14_16,-23,1,0,1,17,2620593,2620595,2,10,4,continuous,656,-368,655,656,-368,655,1,1,1,499.129375206383,115.07133225680174,384.0580191919517,1.7011422239261356,1472
0_0_0_10_14_16,-23,1,0,1,18,2624689,2624691,2,10,4,continuous,889,-135,888,889,-135,888,1,1,1,671.6602792565718,17.961118932931765,653.6992225749865,3.0739837662680802,540
0_0_0_10_14_16,-23,1,0,1,19,2628785,2628787,2,10,4,continuous,510,510,509,510,510,509,1,1,1,640.1544086386139,173.83668371550925,466.31767603790655,1.2968681316872674,2056
0_0_0_10_14_16,-23,1,0,1,20,2632881,2632883,2,10,4,continuous,860,-164,859,860,-164,859,1,1,1,695.31411511992,33.53051721460275,661.7835822794585,3.0116192933093853,656
0_0_0_10_14_16,-23,1,0,1,21,2636977,2636979,2,10,4,continuous,553,-471,552,553,-471,552,1,1,1,552.8176827402867,212.76374082845635,340.05400543592077,1.892682010729943,1884
0_0_0_10_14_16,-23,1,0,1,22,2641073,2641075,2,10,4,continuous,629,-395,628,629,-395,628,1,1,1,557.1180988920169,166.64193406816503,390.47615141833836,0.9548884319793804,1580
0_0_0_10_14_16,-23,1,0,1,23,2645169,2645171,2,10,4,continuous,759,-265,758,525,-499,524,0,0,3,361.99854051527836,112.02313519485052,249.97542881740173,0.33707063998885045,1996
0_0_0_10_14_16,-23,1,0,1,24,2649265,2649267,2,10,4,continuous,874,-150,873,874,-150,873,1,1,1,726.8209186050447,8.034211222207503,718.7868237924341,1.702764236940981,600
0_0_0_10_14_16,-23,1,0,1,25,2653361,2653363,2,10,4,continuous,720,-304,719,720,-304,719,1,1,1,716.3149845864864,190.1939402235405,526.1211035923998,3.8319936683937517,1216
0_0_0_10_14_16,-23,1,0,1,26,2657457,2657459,2,10,4,continuous,314,314,313,314,314,313,1,1,1,521.7258266367207,377.0518007429328,144.67401737529076,2.3665550100723354,2840
0_0_0_10_14_16,-23,1,0,1,27,2661553,2661555,2,10,4,continuous,602,-422,601,602,-422,601,1,1,1,629.1202791279102,156.01853705183203,473.10177777016355,2.795590348444871,1688
0_0_0_10_14_16,-23,1,0,1,28,2665649,2665651,2,10,4,continuous,7,7,6,7,7,6,1,1,1,965.933768771029,965.4196859195838,0.5140984771970675,4.311797893067104,4068
0_0_0_10_14_16,-23,1,0,1,29,2669745,2669747,2,10,4,continuous,610,-414,609,610,-414,609,1,1,1,568.617531708358,107.26501442696576,461.3525338756563,2.224726398065329,1656
