packet_index,payload_symbol_index,gt_bin,bank_kind,pattern_count,savaux_selected_bin,savaux_ok,savaux_gt_rank,savaux_gt_power,savaux_gt_margin_db,savaux_gt_floor_db,plain_coherent_selected_bin,plain_coherent_ok,plain_coherent_gt_rank,plain_coherent_gt_power,plain_coherent_gt_margin_db,plain_coherent_gt_floor_db,lora_coherent_selected_bin,lora_coherent_ok,lora_coherent_gt_rank,lora_coherent_gt_power,lora_coherent_gt_margin_db,lora_coherent_gt_floor_db,lora_mean_power_selected_bin,lora_mean_power_ok,lora_mean_power_gt_rank,lora_mean_power_gt_power,lora_mean_power_gt_margin_db,lora_mean_power_gt_floor_db,lora_best_power_selected_bin,lora_best_power_ok,lora_best_power_gt_rank,lora_best_power_gt_power,lora_best_power_gt_margin_db,lora_best_power_gt_floor_db,lora_stable_power_selected_bin,lora_stable_power_ok,lora_stable_power_gt_rank,lora_stable_power_gt_power,lora_stable_power_gt_margin_db,lora_stable_power_gt_floor_db,lora_adaptive_gls_selected_bin,lora_adaptive_gls_ok,lora_adaptive_gls_gt_rank,lora_adaptive_gls_gt_power,lora_adaptive_gls_gt_margin_db,lora_adaptive_gls_gt_floor_db,lora_crossfit_gls_selected_bin,lora_crossfit_gls_ok,lora_crossfit_gls_gt_rank,lora_crossfit_gls_gt_power,lora_crossfit_gls_gt_margin_db,lora_crossfit_gls_gt_floor_db,lora_offpacket_gls_selected_bin,lora_offpacket_gls_ok,lora_offpacket_gls_gt_rank,lora_offpacket_gls_gt_power,lora_offpacket_gls_gt_margin_db,lora_offpacket_gls_gt_floor_db,dataset,snr_db,seed,noise_mode,covariance_source,white_effective_replicas,empirical_effective_replicas,cross_validated_effective_replicas
1,20,860,multiscale_only_diverse16,16,117,False,12,0.9092519965684609,-1.3395399093105649,7.989687262303599,525,False,4,0.08690593251492078,-1.679758062490946,10.080493643891383,552,False,2,0.07613179638464797,-0.5141739753588535,9.162005589225272,860,True,1,0.13672646557288934,0.03951845467381647,4.492412088874282,628,False,36,0.33791031972717056,-1.6520296162848538,3.28767501262634,552,False,17,0.5062881394252211,-2.2348752196651605,12.56960640340255,117,False,4,6.793417522675226,-1.1403316445986635,9.580613568994337,117,False,3,7.0495392160644155,-0.5994234229041149,9.747002765644398,552,False,2,0.07613179638464797,-0.5141739753588535,9.162005589225272,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,21,553,multiscale_only_diverse16,16,553,True,1,0.8387935297686369,18.63901137613293,42.848354215151154,552,False,3,0.002590352985620047,-5.531061383354023,29.61751185270273,553,True,1,0.052402223279223066,18.528623510363275,42.64718206835725,553,True,1,0.05240808222395681,12.497187383746084,35.80354398590146,553,True,1,0.053297087953733654,7.1378762403332985,30.787940152639464,553,True,1,0.8386997571151568,18.679209267476658,49.890640932434145,553,True,1,10844.54241736127,18.633545424587822,42.9787603627902,553,True,1,10606.902815270225,18.49074949092406,42.585810443776715,553,True,1,0.052402223279223066,18.528623510363275,42.64718206835725,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,22,629,multiscale_only_diverse16,16,963,False,18,0.7375359964039809,-2.0300881229047176,8.15894328158737,952,False,779,0.002877832465564773,-14.870438727843494,-4.322704454758901,952,False,47,0.034174824887530375,-4.034383387073506,6.447611901352747,952,False,138,0.059588756079837095,-3.7798926673057314,1.5852909346450696,953,False,235,0.18603594371722285,-4.054991744670632,1.3839762348915963,963,False,22,0.42298522713893155,-3.560371256804746,12.945516748791135,963,False,5,6.733215445120869,-1.0313686473947177,9.723130830161942,963,False,5,6.925130304801252,-0.8532258284440387,9.834636968807615,952,False,47,0.034174824887530375,-4.034383387073506,6.447611901352747,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,23,759,multiscale_only_diverse16,16,759,True,1,0.8252380983117433,21.96660284884024,41.20564345099904,759,True,1,0.02108764751317221,7.767485480461702,37.393703983106136,759,True,1,0.05158023331924765,21.89351060701274,40.945219847705545,759,True,1,0.05159167782919529,12.618524911969772,35.03605468641885,759,True,1,0.052937567689204185,7.021916756816972,29.94653946609157,759,True,1,0.8250550368951992,22.067603700782335,47.24760088656761,759,True,1,6142.402200968054,22.15527772218099,41.25775680543132,759,True,1,6234.124884948597,22.45646636801474,41.245301929024485,759,True,1,0.05158023331924765,21.89351060701274,40.945219847705545,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,24,874,multiscale_only_diverse16,16,20,False,130,0.2862065968133862,-4.196091817799743,4.459231777483378,256,False,290,0.011833505273200436,-7.005038072427654,2.6902954042455978,697,False,188,0.016820381687559803,-4.463094217899263,3.822842131277196,854,False,412,0.03683955902422496,-3.9042168784297577,0.4535918584818205,843,False,692,0.09471575506825707,-6.77263808025061,-1.028045079629532,20,False,119,0.13067757398325625,-5.700935124347058,7.50465640544642,874,True,1,14.447484131136193,5.401760048067058,14.894015340482403,874,True,1,15.128519631673592,5.726720473718258,15.105739288871936,697,False,188,0.016820381687559803,-4.463094217899263,3.822842131277196,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,25,720,multiscale_only_diverse16,16,775,False,34,0.5260666815064532,-26.21886235966445,10.435365727826753,775,False,62,0.014570808454524516,-29.36624535240337,7.157131175365908,775,False,35,0.03157509765698063,-26.415335502414095,10.375628131268037,775,False,87,0.0503065137886652,-24.39518526663065,5.193831122374619,775,False,137,0.12653779241429547,-20.650101538269197,3.9614926818217477,775,False,38,0.33018799339644567,-28.23901259544789,16.034169668879695,775,False,32,7.171303800490648,-25.539992243945775,12.746381686656692,775,False,34,7.415045942709562,-25.957273472584234,12.759338429021279,775,False,35,0.03157509765698063,-26.415335502414095,10.375628131268037,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,26,314,multiscale_only_diverse16,16,775,False,16,0.7406400451913306,-14.592468589772798,8.533762025585773,777,False,29,0.03866486914491391,-7.434064785055091,7.859091188433734,775,False,14,0.04994854712966765,-14.168569133630712,8.74602623814307,775,False,35,0.08739276180302334,-11.813176960132555,4.085610264686369,775,False,34,0.37393522896417614,-7.2573374908564245,5.429769438358441,775,False,18,0.42330615762824597,-16.947860763270953,13.06477011360181,775,False,27,3.6562815601873058,-15.983033890142558,7.315076182864822,775,False,30,3.562352234016537,-16.106286601806133,7.038387744281627,775,False,14,0.04994854712966765,-14.168569133630712,8.74602623814307,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,27,602,multiscale_only_diverse16,16,602,True,1,0.6698263096444954,5.505439546193326,13.198787536050517,657,False,63,0.00857491717390993,-3.184787204330097,5.476684882514306,602,True,1,0.047094856154459665,5.093710412568676,13.250085496162749,602,True,1,0.05391962525878465,3.2365717012348645,6.960107370976485,602,True,1,0.10336190582449253,0.043255374090636345,4.747912523762154,602,True,1,0.5850443794774085,7.018435386521213,19.40311000217157,602,True,1,28.75299416220539,7.2189092272675275,16.11380147886052,602,True,1,28.767600196793865,7.27664150446251,16.052074221133843,602,True,1,0.047094856154459665,5.093710412568676,13.250085496162749,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,28,7,multiscale_only_diverse16,16,7,True,1,0.8409925165427836,22.133111363044446,43.19345081582676,7,True,1,0.052157703533433644,21.61387306628626,43.617590460249474,7,True,1,0.052564666652786016,22.119551799618,42.92834890646609,7,True,1,0.05256785425063553,13.3959220693418,35.85231189632411,7,True,1,0.053285445776333755,8.032747705387402,30.50114476263328,7,True,1,0.8409415206256894,22.255466788186403,50.49518098414609,7,True,1,12245.157669705708,22.13945226413675,43.304542021813255,7,True,1,11586.611812426643,21.76220596968545,42.729357853627256,7,True,1,0.052564666652786016,22.119551799618,42.92834890646609,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
1,29,610,multiscale_only_diverse16,16,610,True,1,0.8298993045355587,22.378442235599675,42.775881188125034,609,False,3,0.006096613518758599,-1.5881834167696312,33.92231562634527,610,True,1,0.05191981479771325,22.44580836808491,42.606038343018085,610,True,1,0.05192391352269059,12.771455355765283,35.87656302398523,610,True,1,0.05307617096411085,7.426227384704117,30.663701567519155,610,True,1,0.8298337946620264,22.500739058951694,49.90092459678155,610,True,1,11339.961350745476,22.444463267035562,42.84199293872905,610,True,1,10950.500782573781,22.101547204486565,42.52776874659011,610,True,1,0.05191981479771325,22.44580836808491,42.606038343018085,0_0_0_10_14_16,-23.0,42,offpacket_bootstrap,white,0.0,0.0,0.0
