packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
1,0,1,10,2591921,2591923,2,10,4,continuous,765,-259,764,91,91,90,765,-259,764,0,1,0,1,164,1,179.20863061853743,0.9005761134665278,1.5215286377173043,95.60626545706529
1,0,1,11,2596017,2596019,2,10,4,continuous,1023,-1,1022,648,-376,647,1023,-1,1022,0,1,0,1,96,1,167.5979802529846,1.0699532441395263,2.118455115692891,95.97888267666023
1,0,1,12,2600113,2600115,2,10,4,continuous,597,-427,596,134,134,133,394,394,393,0,0,0,0,1006,43,181.94744375108803,0.6152975517181858,0.11574583141769139,92.50532504144775
1,0,1,13,2604209,2604211,2,10,4,continuous,562,-462,561,285,285,284,831,-193,830,0,0,0,0,65,9,155.60902662668377,0.5665470176027156,0.010793136813073647,91.71247803678253
1,0,1,14,2608305,2608307,2,10,4,continuous,478,478,477,82,82,81,206,206,205,0,0,0,0,28,2,211.41268047318226,0.7062649141076349,0.31775831444499303,94.73069505537964
1,0,1,15,2612401,2612403,2,10,4,continuous,267,267,266,498,498,497,267,267,266,0,1,0,1,107,1,186.77285981766545,0.8319378579131467,1.3957505661017269,94.16901455351523
1,0,1,16,2616497,2616499,2,10,4,continuous,917,-107,916,970,-54,969,917,-107,916,0,1,0,1,371,1,176.84533530882618,1.1772827700549584,2.2287582441904576,97.61633871200047
1,0,1,17,2620593,2620595,2,10,4,continuous,656,-368,655,775,-249,774,656,-368,655,0,1,0,1,270,1,187.02276713552783,0.7216732388953915,0.8156960956999053,92.6001127504838
1,0,1,18,2624689,2624691,2,10,4,continuous,889,-135,888,470,470,469,889,-135,888,0,1,0,1,147,1,147.63495875895023,0.7544307739326683,1.1490630320561255,94.41467150768688
1,0,1,19,2628785,2628787,2,10,4,continuous,510,510,509,433,433,432,510,510,509,0,1,0,1,5,1,196.64941705240926,1.1594422494912493,1.9467628255094436,91.58839010219296
1,0,1,20,2632881,2632883,2,10,4,continuous,860,-164,859,337,337,336,860,-164,859,0,1,0,1,98,1,176.3508700999082,0.8030355622511856,1.145064111731574,97.62760094349176
1,0,1,21,2636977,2636979,2,10,4,continuous,553,-471,552,594,-430,593,553,-471,552,0,1,0,1,16,1,138.71476642293055,1.1809010043453014,2.04052552161222,93.71970254078153
1,0,1,22,2641073,2641075,2,10,4,continuous,629,-395,628,751,-273,750,629,-395,628,0,1,0,1,48,1,179.53139098644988,0.9691382476617605,0.4521866542670089,95.61785510419517
1,0,1,23,2645169,2645171,2,10,4,continuous,759,-265,758,949,-75,948,525,-499,524,0,0,0,0,500,27,181.97788104008941,0.6265465594954236,0.4908202016619747,92.58555757700756
1,0,1,24,2649265,2649267,2,10,4,continuous,874,-150,873,125,125,124,788,-236,787,0,0,0,0,25,3,213.52053524133316,0.8557684875081719,0.6159640275918167,98.64438665703766
1,0,1,25,2653361,2653363,2,10,4,continuous,720,-304,719,196,196,195,720,-304,719,0,1,0,1,217,1,166.76448782245643,1.5125983027201215,4.2451632044313765,98.28626886557214
1,0,1,26,2657457,2657459,2,10,4,continuous,314,314,313,404,404,403,314,314,313,0,1,0,1,2,1,164.7907943669643,1.1390378581837126,2.2712093432807725,97.85265128327414
1,0,1,27,2661553,2661555,2,10,4,continuous,602,-422,601,879,-145,878,602,-422,601,0,1,0,1,153,1,176.16381404334334,1.2042447881981957,2.3916619555099516,92.56472767848362
1,0,1,28,2665649,2665651,2,10,4,continuous,7,7,6,13,13,12,7,7,6,0,1,0,1,538,1,188.44991080081763,0.9039555846868872,1.7211132318787898,99.2253055812261
1,0,1,29,2669745,2669747,2,10,4,continuous,610,-414,609,547,-477,546,610,-414,609,0,1,0,1,49,1,208.23388141551186,0.9730765794224716,1.8578972987601414,97.17598811654314
1,0,1,30,2673841,2673843,2,10,4,continuous,807,-217,806,600,-424,599,807,-217,806,0,1,0,1,9,1,153.40370380578042,1.3221298262266288,3.0106611394337994,101.29704912137737
1,0,1,31,2677937,2677939,2,10,4,continuous,897,-127,896,668,-356,667,897,-127,896,0,1,0,1,5,1,199.22352665535072,1.0190404830247104,2.098376318388387,96.27191466357581
