packet_index,payload_symbol_index,gt_bin,top1_bin,gt_in_stage1_top_l,gt_stage1_rank,gt_in_viterbi_candidates,gt_viterbi_rank,top1_margin_db,top1_peak_to_median_db,top1_coherence,multi_bin,multi_hit,multi_error_type,v3_bin,v3_hit,v3_error_type,phase_line_bin,phase_line_hit,phase_line_error_type,phase_dp_first_bin,phase_dp_first_hit,phase_dp_first_error_type,phase_dp_second_bin,phase_dp_second_hit,phase_dp_second_error_type,phase_dp_second_anchor_bin,phase_dp_second_anchor_hit,phase_dp_second_anchor_error_type,dataset,target_snr_db
2,9,492,971,1,14,1,14,0.235981102850432,5.328687367055176,0.3050717862066737,971,0,selectable_miss,371,0,selectable_miss,371,0,selectable_miss,371,0,selectable_miss,371,0,selectable_miss,371,0,selectable_miss,0_0_0_10_14_16,-22.0
2,10,765,765,1,1,1,1,1.6265674585440353,6.686965102065613,0.9345172107053255,765,1,hit,765,1,hit,765,1,hit,765,1,hit,765,1,hit,765,1,hit,0_0_0_10_14_16,-22.0
2,11,1023,1023,1,1,1,1,0.22685927138775452,5.964188613877557,0.9898414850470123,1023,1,hit,1023,1,hit,1023,1,hit,1023,1,hit,1023,1,hit,1023,1,hit,0_0_0_10_14_16,-22.0
2,12,597,677,1,2,1,2,0.30842580256303215,5.7199771340735905,0.5549062138541027,677,0,selectable_miss,597,1,hit,597,1,hit,597,1,hit,597,1,hit,597,1,hit,0_0_0_10_14_16,-22.0
2,13,562,562,1,1,1,1,0.8249524508605212,6.83569039871899,0.9302788401503935,562,1,hit,562,1,hit,562,1,hit,562,1,hit,562,1,hit,562,1,hit,0_0_0_10_14_16,-22.0
2,14,478,478,1,1,1,1,3.268760263040436,8.7703220753832,0.9884200214696715,478,1,hit,478,1,hit,478,1,hit,478,1,hit,478,1,hit,478,1,hit,0_0_0_10_14_16,-22.0
2,15,267,267,1,1,1,1,2.6757209719251303,8.453142851763886,0.9452658525475056,267,1,hit,267,1,hit,267,1,hit,267,1,hit,267,1,hit,267,1,hit,0_0_0_10_14_16,-22.0
2,16,917,917,1,1,1,1,0.32504065212262706,5.897615266677202,0.9622419100731195,917,1,hit,917,1,hit,917,1,hit,917,1,hit,917,1,hit,917,1,hit,0_0_0_10_14_16,-22.0
2,17,656,656,1,1,1,1,0.3218813453887147,5.917033687599071,0.994837900648503,656,1,hit,656,1,hit,656,1,hit,656,1,hit,656,1,hit,656,1,hit,0_0_0_10_14_16,-22.0
2,18,889,889,1,1,1,1,3.965807868853552,10.136211424706211,0.9590284843460261,889,1,hit,889,1,hit,889,1,hit,889,1,hit,889,1,hit,889,1,hit,0_0_0_10_14_16,-22.0
2,19,510,706,1,2,1,2,0.11072700673623767,5.496774380777407,0.6865162362898183,706,0,selectable_miss,510,1,hit,510,1,hit,510,1,hit,510,1,hit,510,1,hit,0_0_0_10_14_16,-22.0
2,20,860,416,1,4,1,4,0.2065060794866746,5.897044405438785,0.22890474054486504,416,0,selectable_miss,860,1,hit,860,1,hit,860,1,hit,860,1,hit,860,1,hit,0_0_0_10_14_16,-22.0
2,21,553,553,1,1,1,1,1.5545920594068805,7.029387385794955,0.9671496744091548,553,1,hit,553,1,hit,553,1,hit,553,1,hit,553,1,hit,553,1,hit,0_0_0_10_14_16,-22.0
2,22,629,629,1,1,1,1,0.9161266531806576,6.866676565624478,0.9902392819091077,629,1,hit,629,1,hit,629,1,hit,629,1,hit,629,1,hit,629,1,hit,0_0_0_10_14_16,-22.0
2,23,759,759,1,1,1,1,2.3460898059894797,7.943583026082867,0.9966504469832846,759,1,hit,759,1,hit,759,1,hit,759,1,hit,759,1,hit,759,1,hit,0_0_0_10_14_16,-22.0
2,24,874,874,1,1,1,1,3.173103485023485,8.778983967215307,0.995790331305204,874,1,hit,874,1,hit,874,1,hit,874,1,hit,874,1,hit,874,1,hit,0_0_0_10_14_16,-22.0
2,25,720,721,1,2,1,2,0.3043174779353668,6.9150724537203425,0.11272823028481312,721,0,selectable_miss,720,1,hit,128,0,selectable_miss,720,1,hit,720,1,hit,720,1,hit,0_0_0_10_14_16,-22.0
2,26,314,1021,1,11,1,11,1.6217677796382632,6.925357663537611,0.6720436550543635,1021,0,selectable_miss,1021,0,selectable_miss,314,1,hit,314,1,hit,314,1,hit,314,1,hit,0_0_0_10_14_16,-22.0
2,27,602,602,1,1,1,1,1.7724738843114936,7.2564156513067815,0.981915535947525,602,1,hit,602,1,hit,602,1,hit,602,1,hit,602,1,hit,602,1,hit,0_0_0_10_14_16,-22.0
2,28,7,7,1,1,1,1,0.255113704065324,5.48276182573656,0.9728930981626854,7,1,hit,7,1,hit,7,1,hit,7,1,hit,7,1,hit,7,1,hit,0_0_0_10_14_16,-22.0
2,29,610,610,1,1,1,1,2.219208573999768,7.408620920419889,0.9137593806612458,610,1,hit,610,1,hit,610,1,hit,610,1,hit,610,1,hit,610,1,hit,0_0_0_10_14_16,-22.0
