method,packet_index,symbol_index,gt_bin,savaux_bin,proposal_bin,gt_savaux_rank,proposal_savaux_rank,savaux_correct,proposal_correct,savaux_margin_db,branch_color_mismatch,backend_ran,dataset,training_dataset,noise_mode,snr_db,seed,lora_guard_segments
information_8_conditional_lora,1,60,720,955,720,98,98,0,1,0.16177493907776866,0.46638901541460753,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,1,62,602,412,1023,4,18,0,0,0.2380895441388568,0.13586590049423683,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,1,64,610,945,944,30,2,0,0,0.10352210074196172,0.2543532928264022,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,42,8
information_8_conditional_lora,0,5,468,784,784,59,1,0,0,0.47494426539120593,0.14843767113921294,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,0,6,89,361,361,3,1,0,0,0.04227510719814161,0.19483199712928564,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,0,8,865,865,865,1,1,1,1,0.4992067222701307,0.22476582935468786,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,0,12,597,352,597,5,5,0,1,0.4846979474565627,0.19158005277673176,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,0,14,478,356,356,73,1,0,0,0.42373191191598825,0.33684103423500805,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,0,15,267,391,391,10,1,0,0,0.20477536707469687,0.8463327500150226,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,0,20,860,318,318,26,1,0,0,0.22825987352024737,0.9189319766661489,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,0,25,720,716,715,21,2,0,0,0.3181694985959738,0.7730483162648207,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,0,32,749,749,749,1,1,1,1,0.18698997593788472,0.5710389826564529,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,1,36,826,893,894,15,2,0,0,0.010534967464524978,1.2279564265289906,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,1,41,89,158,734,27,8,0,0,0.12324892617012118,0.17461061334467545,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,1,43,865,865,865,1,1,1,1,0.20627201128364112,0.22478402482770654,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,1,46,1023,519,192,25,2,0,0,0.008109359731755531,0.1856108349523752,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,1,61,314,120,314,7,7,0,1,0.00167406136430911,0.43550256721025715,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,1,62,602,607,606,135,2,0,0,0.06527190200294879,0.2232437681404524,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,1,67,768,384,847,87,2,0,0,0.33183681305557067,0.1504356758400897,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,43,8
information_8_conditional_lora,0,5,468,784,784,98,1,0,0,0.4858645736541434,0.14844451275559598,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,0,6,89,361,361,4,1,0,0,0.0457393061645376,0.1948477193849025,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,0,8,865,760,865,4,4,0,1,0.20884070105445024,0.22480932449015129,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,0,9,492,492,492,1,1,1,1,0.3927472018873696,0.5253442914433186,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,0,12,597,352,352,10,1,0,0,0.4754794351872505,0.1924730261950682,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,0,14,478,356,356,106,1,0,0,0.42883465378674773,0.33660391944288576,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,0,15,267,391,391,16,1,0,0,0.2028226365759075,0.8456709597516306,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,0,20,860,318,318,28,1,0,0,0.2281488993261102,0.9209068978106446,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,0,25,720,716,715,21,2,0,0,0.30972250693620434,0.7744196693232621,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,0,32,749,125,749,12,12,0,1,0.01292090390235669,0.570107364081595,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,0,34,934,529,934,2,2,0,1,0.3456841969363253,0.2121943730586856,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,1,36,826,893,894,17,2,0,0,0.008619728450552182,1.2265962357751627,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,1,41,89,158,734,50,7,0,0,0.12609234394845004,0.17452626472295732,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,1,43,865,990,865,3,3,0,1,0.37500572240322183,0.2247263650171681,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,1,46,1023,519,192,67,2,0,0,0.009199592647588533,0.18539242128844302,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,1,61,314,120,314,15,15,0,1,0.0030432300020818122,0.43452272442343326,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,1,62,602,607,606,209,2,0,0,0.08774013886465883,0.22344924546340636,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,1,67,768,384,847,160,2,0,0,0.331704402883373,0.15045667845542038,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_conditional_lora,0,5,468,784,784,150,1,0,0,0.4956119100578463,0.14844252709054953,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,6,89,361,361,6,1,0,0,0.04882596048533412,0.19485975119543492,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,8,865,760,865,11,11,0,1,0.2020842370316915,0.22212212100331305,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,9,492,294,295,12,6,0,0,0.13537948076800466,0.5237473213895246,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,11,1023,1023,159,1,10,1,0,0.17603904800810427,0.24958941049892247,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,12,597,352,352,19,1,0,0,0.46726971929260386,0.19256877803276473,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,14,478,356,356,180,1,0,0,0.43337532641528353,0.33642771834945573,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,15,267,391,391,21,1,0,0,0.2010808790846842,0.8451138512048317,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,20,860,318,318,28,1,0,0,0.22805138363653746,0.9225159469971728,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,25,720,716,715,21,2,0,0,0.3022005531339875,0.775736833071628,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,32,749,125,749,23,23,0,1,0.010583932216614494,0.5702298440865753,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,34,934,529,452,8,4,0,0,0.4232612492899756,0.2121927133069765,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,1,36,826,893,894,17,2,0,0,0.006913540719109984,1.2254811528103176,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,1,41,89,158,150,91,8,0,0,0.12862777014718915,0.17386340728253014,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,1,43,865,990,910,9,5,0,0,0.3834731173946192,0.22298284700556886,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,1,46,1023,519,192,117,2,0,0,0.010179509674852691,0.18519440345212704,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,1,61,314,120,314,36,36,0,1,0.004257033390891322,0.43466415286950266,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,1,62,602,607,606,320,2,0,0,0.10769094401527976,0.22362409044510867,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,1,67,768,384,847,237,2,0,0,0.33158337999361714,0.15047311066382293,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,43,8
information_8_conditional_lora,0,1,826,1000,1012,23,3,0,0,0.11792591833370085,0.25083979503652437,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,0,8,865,37,865,2,2,0,1,0.24909292904528496,0.1952385714352377,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,0,11,1023,1021,1023,146,146,0,1,0.4652968756494156,0.5661976116703221,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,0,16,917,582,582,48,1,0,0,0.0825590691257589,0.9034575875986285,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,0,17,656,581,580,11,2,0,0,0.10096892608579328,0.6374634137430913,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,0,25,720,55,55,58,1,0,0,0.3220787157467663,0.3484315108966328,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,0,27,602,338,328,12,2,0,0,0.08297580496220941,0.1559967468958086,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,0,29,610,861,862,784,2,0,0,0.2121439303930131,0.7106326298039315,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,0,30,807,807,807,1,1,1,1,0.06028437744073679,0.12807881148892863,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,1,50,267,700,267,17,17,0,1,0.0820459596139516,0.262903442933998,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
