dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_32,-26.0,7,0.9346938775510203,0.06530612244897961,0.0,0.763265306122449,0.236734693877551,0.0,0.7755102040816327,0.22448979591836737,0.0,0.15918367346938755,0.0,-0.01224489795918371,0.0,0.024489795918367346,0.0,0.42432109207319296,0.5501006549801842,0.4874184328020477
mean_of_datasets,-12.0,28,0.02040816326530612,0.9795918367346937,0.9523809523809524,0.004081632653061224,0.9959183673469388,0.9523809523809524,0.0027210884353741495,0.9972789115646258,0.9523809523809524,0.01768707482993197,0.0,0.001360544217687075,0.0,0.8658256029684601,0.0,0.4653679653679654,0.9327499771424348,0.29922902661320366
mean_of_datasets,-13.0,28,0.02585034013605442,0.9741496598639455,0.9523809523809524,0.008163265306122448,0.9918367346938775,0.9523809523809524,0.005442176870748299,0.9945578231292517,0.9523809523809524,0.02040816326530612,0.0,0.00272108843537415,0.0,0.8599752628324057,0.0,0.4971139971139971,0.932448567699142,0.2993899162500875
mean_of_datasets,-14.0,28,0.034013605442176874,0.9659863945578232,0.9523809523809524,0.012244897959183673,0.9877551020408163,0.9523809523809524,0.012244897959183673,0.9877551020408163,0.9523809523809524,0.0217687074829932,0.0,0.0,0.0,0.844687693259122,0.0,0.5683418031244117,0.9224212482823138,0.3110973471531468
mean_of_datasets,-15.0,28,0.043042671614100185,0.9569573283858998,0.9220779220779222,0.017687074829931974,0.982312925170068,0.9523809523809524,0.017687074829931974,0.982312925170068,0.9523809523809524,0.02535559678416821,0.030303030303030314,0.0,0.0,0.8411008039579468,0.0,0.5656343656343656,0.8881604572871037,0.32245346566308536
mean_of_datasets,-16.0,28,0.05407544836116265,0.9459245516388374,0.7917748917748918,0.02585034013605442,0.9741496598639455,0.9523809523809524,0.02585034013605442,0.9741496598639455,0.9523809523809524,0.028225108225108226,0.1606060606060606,0.0,0.0,0.8400123685837971,0.0,0.5575757575757575,0.9106778777944458,0.309633094251622
mean_of_datasets,-17.0,28,0.0868769325912183,0.9131230674087817,0.5419913419913419,0.031292517006802724,0.9687074829931973,0.9523809523809524,0.03265306122448979,0.9673469387755101,0.9523809523809524,0.054223871366728495,0.41038961038961036,-0.0013605442176870726,0.0,0.8336178107606679,0.0,0.5514132925897631,0.8887268779604743,0.3171606924571097
mean_of_datasets,-18.0,28,0.14390847247990102,0.856091527520099,0.16363636363636366,0.03991341991341992,0.9600865800865801,0.8887445887445887,0.03904761904761905,0.960952380952381,0.919047619047619,0.10486085343228196,0.7554112554112554,0.0008658008658008658,0.030303030303030314,0.83004329004329,0.0,0.6113790970933828,0.8537997037081722,0.3244046386273726
mean_of_datasets,-19.0,28,0.24341372912801482,0.7565862708719852,0.0,0.044131106988249846,0.9558688930117502,0.8554112554112554,0.046444032158317876,0.9535559678416821,0.8220779220779221,0.19696969696969693,0.8220779220779221,-0.0023129251700680247,-0.03333333333333336,0.7879406307977735,0.0,0.8380952380952381,0.8415369381908172,0.3207578314065258
mean_of_datasets,-20.0,28,0.3733580705009276,0.6266419294990725,0.0,0.06805194805194804,0.931948051948052,0.6502164502164502,0.06550401978973408,0.9344959802102659,0.7281385281385281,0.30785405071119354,0.7281385281385281,0.002547928262213977,0.0779220779220779,0.709882498453927,0.0,0.9240689951870076,0.8493519948341718,0.3268796861721946
