dataset,packet_index,frame_index,event_index,payload_symbol_index,frame_symbol_index,source_start_sample,corrected_start_sample,gt_bin,clean_csv_margin_db,clean_recomputed_margin_db,waveform_source,gt_provenance,noise_covariance_source,noise_window_count,noise_windows_available,raw_noise_power,covariance_sample_count,segment_covariance_sample_count,savaux_bin,gt_match_savaux,savaux_correct,savaux_margin_db,savaux_fix_vs_savaux,savaux_break_vs_savaux,fixed_gls_bin,fixed_gls_correct,fixed_gls_margin_db,fixed_gls_fix_vs_savaux,fixed_gls_break_vs_savaux,segmented_gls_bin,segmented_gls_correct,segmented_gls_margin_db,segmented_gls_fix_vs_savaux,segmented_gls_break_vs_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux
0_0_0_10_14_16,1,0,1,21,29,2636977,2636979,553,19.863616651764687,18.713862857539034,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,553,1,1,18.713862857539034,0,0,553,1,16.911214397001448,0,0,553,1,8.682779978988354,0,0,553,1,15.135929349091626,0,0
0_0_0_10_14_16,1,0,1,22,30,2641073,2641075,629,24.146568217607573,20.275720170892995,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,629,1,1,20.275720170892995,0,0,629,1,15.949631604899174,0,0,629,1,6.228388070485744,0,0,629,1,16.10829226401367,0,0
0_0_0_10_14_16,1,0,1,23,31,2645169,2645171,759,24.73275529440375,21.975260707355964,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,759,1,1,21.975260707355964,0,0,759,1,21.402085065117124,0,0,759,1,10.242405394885353,0,0,759,1,17.619055990464496,0,0
0_0_0_10_14_16,1,0,1,24,32,2649265,2649267,874,24.436057641135914,22.85419162193095,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,874,1,1,22.85419162193095,0,0,874,1,23.352226472691832,0,0,874,1,8.693182988302059,0,0,874,1,15.912174825785916,0,0
0_0_0_10_14_16,1,0,1,25,33,2653361,2653363,720,21.895905546729388,20.66050914611191,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,720,1,1,20.66050914611191,0,0,720,1,19.631840954156132,0,0,720,1,10.130364989527425,0,0,720,1,16.199132607256765,0,0
0_0_0_10_14_16,1,0,1,26,34,2657457,2657459,314,21.675178493249444,21.19928676057159,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,314,1,1,21.19928676057159,0,0,314,1,25.669409340234807,0,0,314,1,11.674739738159158,0,0,314,1,17.966771327145835,0,0
0_0_0_10_14_16,1,0,1,27,35,2661553,2661555,602,22.99188153412862,21.064521280714818,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,602,1,1,21.064521280714818,0,0,602,1,24.013956909184166,0,0,602,1,14.569704199778464,0,0,602,1,16.81146886673513,0,0
0_0_0_10_14_16,1,0,1,28,36,2665649,2665651,7,26.338646967435913,22.133113312167282,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,7,1,1,22.133113312167282,0,0,7,1,19.062642954112718,0,0,7,1,11.637840616824677,0,0,7,1,20.246507238626567,0,0
0_0_0_10_14_16,1,0,1,29,37,2669745,2669747,610,23.287598498993948,22.378444014439957,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,610,1,1,22.378444014439957,0,0,610,1,23.006870910613525,0,0,610,1,14.082151129117122,0,0,610,1,17.63818602481462,0,0
0_0_0_10_14_16,2,1,2,0,8,4051325,4051327,803,26.168825092323367,24.08808388978596,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,803,1,1,24.08808388978596,0,0,803,1,22.985534131412244,0,0,803,1,10.14088625735668,0,0,803,1,18.191872397373466,0,0
0_0_0_10_14_16,2,1,2,1,9,4055421,4055423,826,27.450078813572816,24.136289935070483,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,826,1,1,24.136289935070483,0,0,826,1,21.86034800613024,0,0,826,1,15.375787143548463,0,0,826,1,18.69284710933217,0,0
0_0_0_10_14_16,2,1,2,2,10,4059517,4059519,922,24.547117870048236,24.15252530791648,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,922,1,1,24.15252530791648,0,0,922,1,23.315799740012938,0,0,922,1,10.134267883217895,0,0,922,1,19.265601514281204,0,0
0_0_0_10_14_16,2,1,2,3,11,4063613,4063615,718,27.473910848416846,25.648969256947936,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,718,1,1,25.648969256947936,0,0,718,1,25.444507173100163,0,0,718,1,6.664202123809648,0,0,718,1,18.992357639335427,0,0
0_0_0_10_14_16,2,1,2,4,12,4067709,4067711,86,20.52854097104042,20.82215059602631,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,86,1,1,20.82215059602631,0,0,86,1,19.70254894829319,0,0,86,1,6.666884094990669,0,0,86,1,18.35279723436061,0,0
0_0_0_10_14_16,2,1,2,5,13,4071805,4071807,468,22.49263115260533,20.017386991815282,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,468,1,1,20.017386991815282,0,0,468,1,16.602603957881087,0,0,468,1,12.168199288508506,0,0,468,1,18.530277101787398,0,0
0_0_0_10_14_16,2,1,2,6,14,4075901,4075903,89,19.741674282653662,21.158459222966005,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,89,1,1,21.158459222966005,0,0,89,1,14.389910721962764,0,0,89,1,11.199402495526005,0,0,89,1,17.570970984066427,0,0
0_0_0_10_14_16,2,1,2,7,15,4079997,4079999,713,21.592036640275346,20.53943386820894,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,713,1,1,20.53943386820894,0,0,713,1,10.003258710043168,0,0,713,1,6.725419321480645,0,0,713,1,16.629716125501407,0,0
0_0_0_10_14_16,2,1,2,8,16,4084093,4084095,865,20.51893955077855,19.476727939538737,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,865,1,1,19.476727939538737,0,0,865,1,18.757348645554202,0,0,865,1,13.19017699901684,0,0,865,1,17.659347076237218,0,0
0_0_0_10_14_16,2,1,2,9,17,4088189,4088191,492,20.652215741608963,18.84605326488974,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,492,1,1,18.84605326488974,0,0,492,1,17.480106659756988,0,0,492,1,11.869856223153338,0,0,492,1,16.61879890259517,0,0
