dataset,scenario,snr_db,seed,symbol_count,savaux_errors,robust_errors,savaux_ser,robust_ser,net_fixed_errors,fixes,breaks,gate_count,change_count,gate_rate,change_rate,gt_top_k_rate,mean_outlier_fraction,mean_savaux_seconds,mean_robust_overhead_seconds
0_0_0_10_14_8,awgn,-22.0,all,1050,26,26,0.024761904761904763,0.024761904761904763,0,0,0,0,0,0.0,0.0,0.9990476190476191,0.0019552176339285715,0.0013722677142833986,0.0007172437142807689
0_0_0_10_14_8,awgn,-22.0,401,350,9,9,0.025714285714285714,0.025714285714285714,0,0,0,0,0,0.0,0.0,1.0,0.001952427455357143,0.0013912194285746538,0.000724005142853587
0_0_0_10_14_8,awgn,-22.0,502,350,8,8,0.022857142857142857,0.022857142857142857,0,0,0,0,0,0.0,0.0,1.0,0.002001953125,0.0013438260000007826,0.0007083837142584213
0_0_0_10_14_8,awgn,-22.0,603,350,9,9,0.025714285714285714,0.025714285714285714,0,0,0,0,0,0.0,0.0,0.9971428571428571,0.0019112723214285714,0.0013817577142747593,0.0007193422857302981
0_0_0_10_14_8,awgn,-20.0,all,1050,1,1,0.0009523809523809524,0.0009523809523809524,0,0,0,0,0,0.0,0.0,1.0,0.0019559151785714284,0.0014299366666585098,0.0007297939047523306
0_0_0_10_14_8,awgn,-20.0,401,350,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0019461495535714286,0.0013937862857294802,0.0007178371428485012
0_0_0_10_14_8,awgn,-20.0,502,350,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0020040457589285713,0.0014226725714252097,0.0007253714285564326
0_0_0_10_14_8,awgn,-20.0,603,350,1,1,0.002857142857142857,0.002857142857142857,0,0,0,0,0,0.0,0.0,1.0,0.0019175502232142857,0.0014733511428208397,0.0007461731428520579
0_0_0_10_14_8,awgn,-18.0,all,1050,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0019498697916666666,0.0015355838095465083,0.0007417581904701364
0_0_0_10_14_8,awgn,-18.0,401,350,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.001944056919642857,0.0018342874285839832,0.0007855968571337664
0_0_0_10_14_8,awgn,-18.0,502,350,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.001989397321428571,0.001386759714296204,0.0007204108571386314
0_0_0_10_14_8,awgn,-18.0,603,350,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0019161551339285715,0.0013857042857593374,0.0007192668571380117
