packet_index,payload_symbol_index,phase_weight,gt_raw_fft_bin,amp_rank,phase_metric_rank,phase_line_slope_pi,phase_line_r2
1,8,0.35,865,1,1,0.00981327940618147,0.2117922252425355
1,8,0.5,865,1,1,0.00981327940618147,0.2117922252425355
1,8,0.75,865,1,16,0.00981327940618147,0.2117922252425355
1,8,1.0,865,1,42,0.00981327940618147,0.2117922252425355
1,8,1.5,865,1,118,0.00981327940618147,0.2117922252425355
1,8,2.0,865,1,171,0.00981327940618147,0.2117922252425355
1,8,3.0,865,1,224,0.00981327940618147,0.2117922252425355
1,9,0.0,492,1,1,0.00981327940618147,0.2117922252425355
1,9,0.05,492,1,1,0.00981327940618147,0.2117922252425355
1,9,0.1,492,1,1,0.00981327940618147,0.2117922252425355
1,9,0.2,492,1,1,0.00981327940618147,0.2117922252425355
1,9,0.35,492,1,2,0.00981327940618147,0.2117922252425355
1,9,0.5,492,1,4,0.00981327940618147,0.2117922252425355
1,9,0.75,492,1,6,0.00981327940618147,0.2117922252425355
1,9,1.0,492,1,9,0.00981327940618147,0.2117922252425355
1,9,1.5,492,1,33,0.00981327940618147,0.2117922252425355
1,9,2.0,492,1,69,0.00981327940618147,0.2117922252425355
1,9,3.0,492,1,123,0.00981327940618147,0.2117922252425355
1,10,0.0,765,2,2,0.00981327940618147,0.2117922252425355
1,10,0.05,765,2,1,0.00981327940618147,0.2117922252425355
1,10,0.1,765,2,2,0.00981327940618147,0.2117922252425355
1,10,0.2,765,2,3,0.00981327940618147,0.2117922252425355
1,10,0.35,765,2,8,0.00981327940618147,0.2117922252425355
1,10,0.5,765,2,18,0.00981327940618147,0.2117922252425355
1,10,0.75,765,2,48,0.00981327940618147,0.2117922252425355
1,10,1.0,765,2,82,0.00981327940618147,0.2117922252425355
1,10,1.5,765,2,155,0.00981327940618147,0.2117922252425355
1,10,2.0,765,2,207,0.00981327940618147,0.2117922252425355
1,10,3.0,765,2,244,0.00981327940618147,0.2117922252425355
1,11,0.0,1023,2,2,0.00981327940618147,0.2117922252425355
1,11,0.05,1023,2,2,0.00981327940618147,0.2117922252425355
1,11,0.1,1023,2,3,0.00981327940618147,0.2117922252425355
1,11,0.2,1023,2,12,0.00981327940618147,0.2117922252425355
1,11,0.35,1023,2,45,0.00981327940618147,0.2117922252425355
1,11,0.5,1023,2,104,0.00981327940618147,0.2117922252425355
1,11,0.75,1023,2,179,0.00981327940618147,0.2117922252425355
1,11,1.0,1023,2,243,0.00981327940618147,0.2117922252425355
1,11,1.5,1023,2,314,0.00981327940618147,0.2117922252425355
1,11,2.0,1023,2,356,0.00981327940618147,0.2117922252425355
1,11,3.0,1023,2,395,0.00981327940618147,0.2117922252425355
1,12,0.0,597,199,199,0.00981327940618147,0.2117922252425355
1,12,0.05,597,199,181,0.00981327940618147,0.2117922252425355
1,12,0.1,597,199,174,0.00981327940618147,0.2117922252425355
1,12,0.2,597,199,193,0.00981327940618147,0.2117922252425355
1,12,0.35,597,199,232,0.00981327940618147,0.2117922252425355
1,12,0.5,597,199,276,0.00981327940618147,0.2117922252425355
1,12,0.75,597,199,325,0.00981327940618147,0.2117922252425355
1,12,1.0,597,199,358,0.00981327940618147,0.2117922252425355
1,12,1.5,597,199,385,0.00981327940618147,0.2117922252425355
1,12,2.0,597,199,392,0.00981327940618147,0.2117922252425355
1,12,3.0,597,199,406,0.00981327940618147,0.2117922252425355
1,13,0.0,562,1,1,0.00981327940618147,0.2117922252425355
1,13,0.05,562,1,3,0.00981327940618147,0.2117922252425355
1,13,0.1,562,1,5,0.00981327940618147,0.2117922252425355
1,13,0.2,562,1,20,0.00981327940618147,0.2117922252425355
1,13,0.35,562,1,74,0.00981327940618147,0.2117922252425355
1,13,0.5,562,1,158,0.00981327940618147,0.2117922252425355
1,13,0.75,562,1,276,0.00981327940618147,0.2117922252425355
1,13,1.0,562,1,338,0.00981327940618147,0.2117922252425355
1,13,1.5,562,1,412,0.00981327940618147,0.2117922252425355
1,13,2.0,562,1,450,0.00981327940618147,0.2117922252425355
1,13,3.0,562,1,471,0.00981327940618147,0.2117922252425355
1,14,0.0,478,2,2,0.00981327940618147,0.2117922252425355
1,14,0.05,478,2,2,0.00981327940618147,0.2117922252425355
1,14,0.1,478,2,2,0.00981327940618147,0.2117922252425355
1,14,0.2,478,2,11,0.00981327940618147,0.2117922252425355
1,14,0.35,478,2,69,0.00981327940618147,0.2117922252425355
1,14,0.5,478,2,136,0.00981327940618147,0.2117922252425355
1,14,0.75,478,2,248,0.00981327940618147,0.2117922252425355
1,14,1.0,478,2,322,0.00981327940618147,0.2117922252425355
1,14,1.5,478,2,395,0.00981327940618147,0.2117922252425355
1,14,2.0,478,2,416,0.00981327940618147,0.2117922252425355
1,14,3.0,478,2,444,0.00981327940618147,0.2117922252425355
1,15,0.0,267,2,2,0.00981327940618147,0.2117922252425355
1,15,0.05,267,2,4,0.00981327940618147,0.2117922252425355
1,15,0.1,267,2,8,0.00981327940618147,0.2117922252425355
1,15,0.2,267,2,36,0.00981327940618147,0.2117922252425355
1,15,0.35,267,2,127,0.00981327940618147,0.2117922252425355
1,15,0.5,267,2,212,0.00981327940618147,0.2117922252425355
1,15,0.75,267,2,322,0.00981327940618147,0.2117922252425355
1,15,1.0,267,2,379,0.00981327940618147,0.2117922252425355
1,15,1.5,267,2,437,0.00981327940618147,0.2117922252425355
1,15,2.0,267,2,464,0.00981327940618147,0.2117922252425355
1,15,3.0,267,2,488,0.00981327940618147,0.2117922252425355
1,16,0.0,917,10,10,0.00981327940618147,0.2117922252425355
1,16,0.05,917,10,11,0.00981327940618147,0.2117922252425355
1,16,0.1,917,10,26,0.00981327940618147,0.2117922252425355
1,16,0.2,917,10,102,0.00981327940618147,0.2117922252425355
1,16,0.35,917,10,256,0.00981327940618147,0.2117922252425355
1,16,0.5,917,10,356,0.00981327940618147,0.2117922252425355
1,16,0.75,917,10,446,0.00981327940618147,0.2117922252425355
1,16,1.0,917,10,502,0.00981327940618147,0.2117922252425355
1,16,1.5,917,10,535,0.00981327940618147,0.2117922252425355
1,16,2.0,917,10,561,0.00981327940618147,0.2117922252425355
1,16,3.0,917,10,590,0.00981327940618147,0.2117922252425355
1,17,0.0,656,34,34,0.00981327940618147,0.2117922252425355
1,17,0.05,656,34,40,0.00981327940618147,0.2117922252425355
1,17,0.1,656,34,56,0.00981327940618147,0.2117922252425355
1,17,0.2,656,34,97,0.00981327940618147,0.2117922252425355
1,17,0.35,656,34,172,0.00981327940618147,0.2117922252425355
1,17,0.5,656,34,247,0.00981327940618147,0.2117922252425355
1,17,0.75,656,34,337,0.00981327940618147,0.2117922252425355
1,17,1.0,656,34,379,0.00981327940618147,0.2117922252425355
1,17,1.5,656,34,425,0.00981327940618147,0.2117922252425355
1,17,2.0,656,34,443,0.00981327940618147,0.2117922252425355
1,17,3.0,656,34,459,0.00981327940618147,0.2117922252425355
1,18,0.0,889,4,4,0.00981327940618147,0.2117922252425355
1,18,0.05,889,4,8,0.00981327940618147,0.2117922252425355
1,18,0.1,889,4,33,0.00981327940618147,0.2117922252425355
1,18,0.2,889,4,168,0.00981327940618147,0.2117922252425355
1,18,0.35,889,4,376,0.00981327940618147,0.2117922252425355
1,18,0.5,889,4,500,0.00981327940618147,0.2117922252425355
1,18,0.75,889,4,620,0.00981327940618147,0.2117922252425355
1,18,1.0,889,4,670,0.00981327940618147,0.2117922252425355
1,18,1.5,889,4,718,0.00981327940618147,0.2117922252425355
1,18,2.0,889,4,754,0.00981327940618147,0.2117922252425355
1,18,3.0,889,4,788,0.00981327940618147,0.2117922252425355
1,19,0.0,510,1,1,0.00981327940618147,0.2117922252425355
1,19,0.05,510,1,1,0.00981327940618147,0.2117922252425355
1,19,0.1,510,1,3,0.00981327940618147,0.2117922252425355
1,19,0.2,510,1,47,0.00981327940618147,0.2117922252425355
1,19,0.35,510,1,197,0.00981327940618147,0.2117922252425355
1,19,0.5,510,1,363,0.00981327940618147,0.2117922252425355
1,19,0.75,510,1,507,0.00981327940618147,0.2117922252425355
1,19,1.0,510,1,565,0.00981327940618147,0.2117922252425355
1,19,1.5,510,1,626,0.00981327940618147,0.2117922252425355
1,19,2.0,510,1,661,0.00981327940618147,0.2117922252425355
1,19,3.0,510,1,699,0.00981327940618147,0.2117922252425355
1,20,0.0,860,2,2,0.00981327940618147,0.2117922252425355
1,20,0.05,860,2,3,0.00981327940618147,0.2117922252425355
1,20,0.1,860,2,15,0.00981327940618147,0.2117922252425355
1,20,0.2,860,2,128,0.00981327940618147,0.2117922252425355
1,20,0.35,860,2,338,0.00981327940618147,0.2117922252425355
1,20,0.5,860,2,459,0.00981327940618147,0.2117922252425355
1,20,0.75,860,2,567,0.00981327940618147,0.2117922252425355
1,20,1.0,860,2,626,0.00981327940618147,0.2117922252425355
1,20,1.5,860,2,683,0.00981327940618147,0.2117922252425355
1,20,2.0,860,2,713,0.00981327940618147,0.2117922252425355
1,20,3.0,860,2,743,0.00981327940618147,0.2117922252425355
1,21,0.0,553,1,1,0.00981327940618147,0.2117922252425355
1,21,0.05,553,1,3,0.00981327940618147,0.2117922252425355
1,21,0.1,553,1,12,0.00981327940618147,0.2117922252425355
1,21,0.2,553,1,90,0.00981327940618147,0.2117922252425355
1,21,0.35,553,1,296,0.00981327940618147,0.2117922252425355
1,21,0.5,553,1,431,0.00981327940618147,0.2117922252425355
1,21,0.75,553,1,546,0.00981327940618147,0.2117922252425355
1,21,1.0,553,1,592,0.00981327940618147,0.2117922252425355
1,21,1.5,553,1,640,0.00981327940618147,0.2117922252425355
1,21,2.0,553,1,665,0.00981327940618147,0.2117922252425355
1,21,3.0,553,1,704,0.00981327940618147,0.2117922252425355
1,22,0.0,629,1,1,0.00981327940618147,0.2117922252425355
1,22,0.05,629,1,5,0.00981327940618147,0.2117922252425355
1,22,0.1,629,1,23,0.00981327940618147,0.2117922252425355
1,22,0.2,629,1,151,0.00981327940618147,0.2117922252425355
1,22,0.35,629,1,367,0.00981327940618147,0.2117922252425355
1,22,0.5,629,1,520,0.00981327940618147,0.2117922252425355
1,22,0.75,629,1,628,0.00981327940618147,0.2117922252425355
1,22,1.0,629,1,691,0.00981327940618147,0.2117922252425355
1,22,1.5,629,1,757,0.00981327940618147,0.2117922252425355
1,22,2.0,629,1,795,0.00981327940618147,0.2117922252425355
1,22,3.0,629,1,830,0.00981327940618147,0.2117922252425355
1,23,0.0,759,19,19,0.00981327940618147,0.2117922252425355
1,23,0.05,759,19,54,0.00981327940618147,0.2117922252425355
1,23,0.1,759,19,112,0.00981327940618147,0.2117922252425355
1,23,0.2,759,19,264,0.00981327940618147,0.2117922252425355
1,23,0.35,759,19,475,0.00981327940618147,0.2117922252425355
1,23,0.5,759,19,601,0.00981327940618147,0.2117922252425355
1,23,0.75,759,19,697,0.00981327940618147,0.2117922252425355
1,23,1.0,759,19,735,0.00981327940618147,0.2117922252425355
1,23,1.5,759,19,790,0.00981327940618147,0.2117922252425355
1,23,2.0,759,19,811,0.00981327940618147,0.2117922252425355
1,23,3.0,759,19,835,0.00981327940618147,0.2117922252425355
1,24,0.0,874,1,1,0.00981327940618147,0.2117922252425355
1,24,0.05,874,1,2,0.00981327940618147,0.2117922252425355
1,24,0.1,874,1,9,0.00981327940618147,0.2117922252425355
1,24,0.2,874,1,68,0.00981327940618147,0.2117922252425355
1,24,0.35,874,1,244,0.00981327940618147,0.2117922252425355
1,24,0.5,874,1,378,0.00981327940618147,0.2117922252425355
1,24,0.75,874,1,493,0.00981327940618147,0.2117922252425355
1,24,1.0,874,1,566,0.00981327940618147,0.2117922252425355
1,24,1.5,874,1,617,0.00981327940618147,0.2117922252425355
1,24,2.0,874,1,656,0.00981327940618147,0.2117922252425355
1,24,3.0,874,1,688,0.00981327940618147,0.2117922252425355
1,25,0.0,720,5,5,0.00981327940618147,0.2117922252425355
1,25,0.05,720,5,19,0.00981327940618147,0.2117922252425355
1,25,0.1,720,5,57,0.00981327940618147,0.2117922252425355
1,25,0.2,720,5,191,0.00981327940618147,0.2117922252425355
1,25,0.35,720,5,385,0.00981327940618147,0.2117922252425355
1,25,0.5,720,5,502,0.00981327940618147,0.2117922252425355
1,25,0.75,720,5,589,0.00981327940618147,0.2117922252425355
1,25,1.0,720,5,632,0.00981327940618147,0.2117922252425355
1,25,1.5,720,5,681,0.00981327940618147,0.2117922252425355
1,25,2.0,720,5,713,0.00981327940618147,0.2117922252425355
1,25,3.0,720,5,743,0.00981327940618147,0.2117922252425355
1,26,0.0,314,1,1,0.00981327940618147,0.2117922252425355
1,26,0.05,314,1,1,0.00981327940618147,0.2117922252425355
1,26,0.1,314,1,1,0.00981327940618147,0.2117922252425355
1,26,0.2,314,1,20,0.00981327940618147,0.2117922252425355
1,26,0.35,314,1,95,0.00981327940618147,0.2117922252425355
1,26,0.5,314,1,247,0.00981327940618147,0.2117922252425355
1,26,0.75,314,1,407,0.00981327940618147,0.2117922252425355
1,26,1.0,314,1,493,0.00981327940618147,0.2117922252425355
1,26,1.5,314,1,538,0.00981327940618147,0.2117922252425355
1,26,2.0,314,1,569,0.00981327940618147,0.2117922252425355
1,26,3.0,314,1,597,0.00981327940618147,0.2117922252425355
1,27,0.0,602,6,6,0.00981327940618147,0.2117922252425355
1,27,0.05,602,6,5,0.00981327940618147,0.2117922252425355
1,27,0.1,602,6,6,0.00981327940618147,0.2117922252425355
1,27,0.2,602,6,14,0.00981327940618147,0.2117922252425355
1,27,0.35,602,6,45,0.00981327940618147,0.2117922252425355
1,27,0.5,602,6,83,0.00981327940618147,0.2117922252425355
1,27,0.75,602,6,152,0.00981327940618147,0.2117922252425355
1,27,1.0,602,6,213,0.00981327940618147,0.2117922252425355
1,27,1.5,602,6,272,0.00981327940618147,0.2117922252425355
1,27,2.0,602,6,302,0.00981327940618147,0.2117922252425355
1,27,3.0,602,6,335,0.00981327940618147,0.2117922252425355
1,28,0.0,7,16,16,0.00981327940618147,0.2117922252425355
1,28,0.05,7,16,15,0.00981327940618147,0.2117922252425355
1,28,0.1,7,16,18,0.00981327940618147,0.2117922252425355
1,28,0.2,7,16,48,0.00981327940618147,0.2117922252425355
1,28,0.35,7,16,90,0.00981327940618147,0.2117922252425355
1,28,0.5,7,16,154,0.00981327940618147,0.2117922252425355
1,28,0.75,7,16,234,0.00981327940618147,0.2117922252425355
1,28,1.0,7,16,292,0.00981327940618147,0.2117922252425355
1,28,1.5,7,16,348,0.00981327940618147,0.2117922252425355
1,28,2.0,7,16,371,0.00981327940618147,0.2117922252425355
1,28,3.0,7,16,386,0.00981327940618147,0.2117922252425355
1,29,0.0,610,2,2,0.00981327940618147,0.2117922252425355
1,29,0.05,610,2,2,0.00981327940618147,0.2117922252425355
1,29,0.1,610,2,2,0.00981327940618147,0.2117922252425355
1,29,0.2,610,2,11,0.00981327940618147,0.2117922252425355
1,29,0.35,610,2,54,0.00981327940618147,0.2117922252425355
1,29,0.5,610,2,137,0.00981327940618147,0.2117922252425355
1,29,0.75,610,2,253,0.00981327940618147,0.2117922252425355
1,29,1.0,610,2,317,0.00981327940618147,0.2117922252425355
1,29,1.5,610,2,388,0.00981327940618147,0.2117922252425355
1,29,2.0,610,2,412,0.00981327940618147,0.2117922252425355
1,29,3.0,610,2,434,0.00981327940618147,0.2117922252425355
1,30,0.0,807,1,1,0.00981327940618147,0.2117922252425355
1,30,0.05,807,1,1,0.00981327940618147,0.2117922252425355
1,30,0.1,807,1,1,0.00981327940618147,0.2117922252425355
1,30,0.2,807,1,1,0.00981327940618147,0.2117922252425355
1,30,0.35,807,1,4,0.00981327940618147,0.2117922252425355
1,30,0.5,807,1,21,0.00981327940618147,0.2117922252425355
1,30,0.75,807,1,72,0.00981327940618147,0.2117922252425355
1,30,1.0,807,1,124,0.00981327940618147,0.2117922252425355
1,30,1.5,807,1,212,0.00981327940618147,0.2117922252425355
1,30,2.0,807,1,261,0.00981327940618147,0.2117922252425355
1,30,3.0,807,1,304,0.00981327940618147,0.2117922252425355
1,31,0.0,897,1,1,0.00981327940618147,0.2117922252425355
1,31,0.05,897,1,1,0.00981327940618147,0.2117922252425355
1,31,0.1,897,1,1,0.00981327940618147,0.2117922252425355
1,31,0.2,897,1,1,0.00981327940618147,0.2117922252425355
1,31,0.35,897,1,1,0.00981327940618147,0.2117922252425355
1,31,0.5,897,1,1,0.00981327940618147,0.2117922252425355
1,31,0.75,897,1,1,0.00981327940618147,0.2117922252425355
1,31,1.0,897,1,1,0.00981327940618147,0.2117922252425355
1,31,1.5,897,1,1,0.00981327940618147,0.2117922252425355
1,31,2.0,897,1,1,0.00981327940618147,0.2117922252425355
1,31,3.0,897,1,2,0.00981327940618147,0.2117922252425355
1,32,0.0,749,41,41,0.00981327940618147,0.2117922252425355
1,32,0.05,749,41,15,0.00981327940618147,0.2117922252425355
1,32,0.1,749,41,10,0.00981327940618147,0.2117922252425355
1,32,0.2,749,41,9,0.00981327940618147,0.2117922252425355
1,32,0.35,749,41,8,0.00981327940618147,0.2117922252425355
1,32,0.5,749,41,7,0.00981327940618147,0.2117922252425355
1,32,0.75,749,41,4,0.00981327940618147,0.2117922252425355
1,32,1.0,749,41,4,0.00981327940618147,0.2117922252425355
1,32,1.5,749,41,3,0.00981327940618147,0.2117922252425355
1,32,2.0,749,41,4,0.00981327940618147,0.2117922252425355
1,32,3.0,749,41,4,0.00981327940618147,0.2117922252425355
1,33,0.0,584,1,1,0.00981327940618147,0.2117922252425355
1,33,0.05,584,1,1,0.00981327940618147,0.2117922252425355
1,33,0.1,584,1,1,0.00981327940618147,0.2117922252425355
1,33,0.2,584,1,1,0.00981327940618147,0.2117922252425355
1,33,0.35,584,1,1,0.00981327940618147,0.2117922252425355
1,33,0.5,584,1,1,0.00981327940618147,0.2117922252425355
1,33,0.75,584,1,1,0.00981327940618147,0.2117922252425355
1,33,1.0,584,1,1,0.00981327940618147,0.2117922252425355
1,33,1.5,584,1,1,0.00981327940618147,0.2117922252425355
1,33,2.0,584,1,1,0.00981327940618147,0.2117922252425355
1,33,3.0,584,1,1,0.00981327940618147,0.2117922252425355
1,34,0.0,934,1,1,0.00981327940618147,0.2117922252425355
1,34,0.05,934,1,1,0.00981327940618147,0.2117922252425355
1,34,0.1,934,1,1,0.00981327940618147,0.2117922252425355
1,34,0.2,934,1,1,0.00981327940618147,0.2117922252425355
1,34,0.35,934,1,1,0.00981327940618147,0.2117922252425355
1,34,0.5,934,1,1,0.00981327940618147,0.2117922252425355
1,34,0.75,934,1,1,0.00981327940618147,0.2117922252425355
1,34,1.0,934,1,1,0.00981327940618147,0.2117922252425355
1,34,1.5,934,1,3,0.00981327940618147,0.2117922252425355
1,34,2.0,934,1,8,0.00981327940618147,0.2117922252425355
1,34,3.0,934,1,41,0.00981327940618147,0.2117922252425355
2,0,0.0,803,1,1,-0.034590211680816094,0.6598793006724761
2,0,0.05,803,1,1,-0.034590211680816094,0.6598793006724761
2,0,0.1,803,1,1,-0.034590211680816094,0.6598793006724761
2,0,0.2,803,1,1,-0.034590211680816094,0.6598793006724761
2,0,0.35,803,1,1,-0.034590211680816094,0.6598793006724761
2,0,0.5,803,1,2,-0.034590211680816094,0.6598793006724761
2,0,0.75,803,1,2,-0.034590211680816094,0.6598793006724761
2,0,1.0,803,1,2,-0.034590211680816094,0.6598793006724761
2,0,1.5,803,1,4,-0.034590211680816094,0.6598793006724761
2,0,2.0,803,1,5,-0.034590211680816094,0.6598793006724761
2,0,3.0,803,1,9,-0.034590211680816094,0.6598793006724761
2,1,0.0,826,1,1,-0.034590211680816094,0.6598793006724761
2,1,0.05,826,1,1,-0.034590211680816094,0.6598793006724761
2,1,0.1,826,1,1,-0.034590211680816094,0.6598793006724761
2,1,0.2,826,1,1,-0.034590211680816094,0.6598793006724761
2,1,0.35,826,1,1,-0.034590211680816094,0.6598793006724761
2,1,0.5,826,1,1,-0.034590211680816094,0.6598793006724761
2,1,0.75,826,1,1,-0.034590211680816094,0.6598793006724761
2,1,1.0,826,1,1,-0.034590211680816094,0.6598793006724761
2,1,1.5,826,1,1,-0.034590211680816094,0.6598793006724761
2,1,2.0,826,1,1,-0.034590211680816094,0.6598793006724761
2,1,3.0,826,1,1,-0.034590211680816094,0.6598793006724761
2,2,0.0,922,2,2,-0.034590211680816094,0.6598793006724761
2,2,0.05,922,2,1,-0.034590211680816094,0.6598793006724761
2,2,0.1,922,2,1,-0.034590211680816094,0.6598793006724761
2,2,0.2,922,2,1,-0.034590211680816094,0.6598793006724761
2,2,0.35,922,2,1,-0.034590211680816094,0.6598793006724761
2,2,0.5,922,2,1,-0.034590211680816094,0.6598793006724761
2,2,0.75,922,2,1,-0.034590211680816094,0.6598793006724761
2,2,1.0,922,2,1,-0.034590211680816094,0.6598793006724761
2,2,1.5,922,2,1,-0.034590211680816094,0.6598793006724761
2,2,2.0,922,2,1,-0.034590211680816094,0.6598793006724761
2,2,3.0,922,2,1,-0.034590211680816094,0.6598793006724761
2,3,0.0,718,1,1,-0.034590211680816094,0.6598793006724761
2,3,0.05,718,1,1,-0.034590211680816094,0.6598793006724761
2,3,0.1,718,1,1,-0.034590211680816094,0.6598793006724761
2,3,0.2,718,1,1,-0.034590211680816094,0.6598793006724761
2,3,0.35,718,1,1,-0.034590211680816094,0.6598793006724761
2,3,0.5,718,1,1,-0.034590211680816094,0.6598793006724761
2,3,0.75,718,1,1,-0.034590211680816094,0.6598793006724761
2,3,1.0,718,1,1,-0.034590211680816094,0.6598793006724761
2,3,1.5,718,1,1,-0.034590211680816094,0.6598793006724761
2,3,2.0,718,1,1,-0.034590211680816094,0.6598793006724761
2,3,3.0,718,1,1,-0.034590211680816094,0.6598793006724761
2,4,0.0,86,119,119,-0.034590211680816094,0.6598793006724761
2,4,0.05,86,119,62,-0.034590211680816094,0.6598793006724761
