dataset,snr_db,seed,packet_count,symbol_count,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,hybrid_mean_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,gated_hybrid_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,hybrid_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,gated_hybrid_pattern_changes_vs_savaux
0_0_0_10_14_16,-25.0,1,3,105,0.9523809523809524,3.285714285714286,0.2571428571428571,0.6285714285714286,0.3142857142857143,0.3333333333333333,0.34285714285714286,0.24761904761904763,0.2571428571428571,0.2857142857142857,0.23809523809523808,0.23809523809523808,0.24761904761904763,4,43,65,3,9,21,2,10,20,2,11,21,2,1,7,2,2,7,3,6,15,2,0,4,2,0,3,1,0,3
0_0_0_10_14_16,-26.0,1,3,105,0.9142857142857143,8.761904761904761,0.42857142857142855,0.7428571428571429,0.4857142857142857,0.44761904761904764,0.44761904761904764,0.4380952380952381,0.42857142857142855,0.49523809523809526,0.44761904761904764,0.42857142857142855,0.4380952380952381,3,36,73,3,9,28,4,6,23,4,6,24,1,2,9,2,2,10,2,9,22,0,2,4,0,0,1,0,1,4
0_0_0_10_14_16,-24.0,2,3,105,1.0,1.2476190476190476,0.12380952380952381,0.5238095238095238,0.14285714285714285,0.1619047619047619,0.17142857142857143,0.09523809523809523,0.11428571428571428,0.14285714285714285,0.09523809523809523,0.11428571428571428,0.11428571428571428,1,43,55,5,7,17,4,8,17,3,8,17,3,0,6,2,1,8,4,6,14,3,0,4,1,0,1,1,0,4
0_0_0_10_14_16,-25.0,2,3,105,0.980952380952381,2.266666666666667,0.26666666666666666,0.6571428571428571,0.3238095238095238,0.3238095238095238,0.3142857142857143,0.23809523809523808,0.22857142857142856,0.29523809523809524,0.23809523809523808,0.2571428571428571,0.22857142857142856,0,41,64,6,12,29,4,10,28,4,9,26,3,0,8,6,2,15,5,8,22,3,0,5,1,0,1,4,0,10
0_0_0_10_14_16,-26.0,2,3,105,0.8952380952380953,6.238095238095237,0.4,0.780952380952381,0.5428571428571428,0.49523809523809526,0.5047619047619047,0.42857142857142855,0.45714285714285713,0.4857142857142857,0.4,0.41904761904761906,0.41904761904761906,2,42,79,2,17,45,4,14,42,4,15,42,2,5,17,1,7,27,2,11,35,2,2,9,0,2,3,0,2,12
0_0_0_10_14_16,-24.0,42,3,105,0.9904761904761905,1.5714285714285714,0.13333333333333333,0.44761904761904764,0.14285714285714285,0.1523809523809524,0.17142857142857143,0.1523809523809524,0.1523809523809524,0.1523809523809524,0.14285714285714285,0.13333333333333333,0.13333333333333333,1,34,47,1,2,10,1,3,9,0,4,9,0,2,5,0,2,4,0,2,7,0,1,1,0,0,0,0,0,0
0_0_0_10_14_16,-25.0,42,3,105,0.9333333333333332,3.961904761904762,0.26666666666666666,0.6190476190476191,0.2761904761904762,0.26666666666666666,0.26666666666666666,0.23809523809523808,0.23809523809523808,0.22857142857142856,0.24761904761904763,0.24761904761904763,0.23809523809523808,4,41,65,6,7,23,6,6,19,6,6,19,3,0,7,4,1,6,5,1,14,2,0,2,2,0,2,3,0,3
0_0_0_10_14_16,-26.0,42,3,105,0.8666666666666667,10.257142857142858,0.44761904761904764,0.7428571428571429,0.44761904761904764,0.4380952380952381,0.4380952380952381,0.44761904761904764,0.44761904761904764,0.42857142857142855,0.44761904761904764,0.44761904761904764,0.44761904761904764,5,36,76,7,7,33,7,6,28,7,6,28,2,2,12,3,3,12,5,3,21,0,0,3,0,0,2,0,0,0
0_0_0_10_14_32,-24.0,1,3,105,0.7428571428571429,57.63809523809524,0.3333333333333333,0.4666666666666667,0.3523809523809524,0.34285714285714286,0.34285714285714286,0.3333333333333333,0.34285714285714286,0.34285714285714286,0.3333333333333333,0.3333333333333333,0.34285714285714286,0,14,41,0,2,13,1,2,15,1,2,15,1,1,5,0,1,7,0,1,10,0,0,1,0,0,0,0,1,4
0_0_0_10_14_32,-25.0,1,3,105,0.7238095238095239,73.44761904761906,0.3619047619047619,0.5428571428571428,0.37142857142857144,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.3619047619047619,0.3619047619047619,0.37142857142857144,0.3619047619047619,0.3619047619047619,1,20,48,0,1,13,0,2,14,0,2,14,0,2,5,0,0,6,0,0,9,0,1,2,0,0,0,0,0,4
0_0_0_10_14_32,-26.0,1,3,105,0.7047619047619048,90.21904761904763,0.41904761904761906,0.6666666666666666,0.4666666666666667,0.44761904761904764,0.44761904761904764,0.41904761904761906,0.41904761904761906,0.4380952380952381,0.41904761904761906,0.41904761904761906,0.41904761904761906,2,28,62,0,5,22,1,4,21,1,4,21,0,0,4,0,0,7,0,2,14,0,0,1,0,0,0,0,0,4
0_0_0_10_14_32,-24.0,2,3,105,0.7714285714285714,35.476190476190474,0.3523809523809524,0.5047619047619047,0.3619047619047619,0.38095238095238093,0.3904761904761905,0.3523809523809524,0.34285714285714286,0.3523809523809524,0.3523809523809524,0.3523809523809524,0.3523809523809524,1,17,45,1,2,15,1,4,18,1,5,19,0,0,8,1,0,9,1,1,11,0,0,5,0,0,2,0,0,4
0_0_0_10_14_32,-25.0,2,3,105,0.7333333333333334,49.02857142857143,0.3904761904761905,0.6095238095238096,0.42857142857142855,0.41904761904761906,0.41904761904761906,0.3904761904761905,0.4,0.41904761904761906,0.3904761904761905,0.3904761904761905,0.3904761904761905,0,23,54,0,4,18,0,3,17,0,3,17,1,1,10,0,1,10,0,3,14,1,1,7,0,0,2,0,0,3
0_0_0_10_14_32,-26.0,2,3,105,0.6857142857142856,65.12380952380953,0.49523809523809526,0.7047619047619048,0.5142857142857142,0.5142857142857142,0.5047619047619047,0.5047619047619047,0.49523809523809526,0.49523809523809526,0.4857142857142857,0.4857142857142857,0.49523809523809526,1,23,63,3,5,26,3,5,26,5,6,29,1,2,13,1,1,12,3,3,21,1,0,8,1,0,4,0,0,5
0_0_0_10_14_32,-24.0,42,3,105,0.7523809523809524,81.83809523809524,0.3238095238095238,0.5333333333333333,0.3333333333333333,0.3619047619047619,0.3619047619047619,0.3238095238095238,0.3238095238095238,0.3333333333333333,0.3238095238095238,0.3238095238095238,0.3238095238095238,1,23,56,2,3,23,1,5,23,1,5,22,0,0,8,0,0,8,1,2,16,0,0,4,0,0,2,0,0,5
0_0_0_10_14_32,-25.0,42,3,105,0.7238095238095238,98.84761904761905,0.37142857142857144,0.6761904761904762,0.44761904761904764,0.4380952380952381,0.4380952380952381,0.4,0.38095238095238093,0.4095238095238095,0.3904761904761905,0.38095238095238093,0.38095238095238093,1,33,68,4,12,35,3,10,33,3,10,32,0,3,14,2,3,15,4,8,28,0,2,8,0,1,3,2,3,10
0_0_0_10_14_32,-26.0,42,3,105,0.6952380952380951,115.76190476190476,0.4857142857142857,0.780952380952381,0.580952380952381,0.5904761904761905,0.6,0.5142857142857142,0.5047619047619047,0.580952380952381,0.5047619047619047,0.4857142857142857,0.5047619047619047,0,31,78,3,13,44,1,12,41,0,12,39,1,4,19,2,4,19,1,11,35,0,2,11,0,0,2,0,2,9
