method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,screened_symbols,screen_rate,accepted_proposals,rejected_proposals,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,branch_color_threshold,lora_guard_margin_db,lora_guard_segments
information_8,8,70,8,0.11428571428571428,0,3,0.40734489998430945,5.819212856918706,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,6,0.08571428571428572,2,3,0.448596300000645,6.408518571437786,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,6,0.08571428571428572,2,3,0.06373029999667779,0.9104328570953969,10,0.14285714285714285,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,5,0.07142857142857142,0,0,0.0016549000029044691,0.023641428612920987,0,0.0,10,0.14285714285714285,0,7,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,15,0.21428571428571427,0,0,0.10745899999528774,1.5351285713612535,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,18,0.2571428571428571,0,3,0.4256745999882696,6.081065714118138,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,16,0.22857142857142856,0,1,0.4040828000070178,5.7726114286716825,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,15,0.21428571428571427,0,0,0.44965890001913067,6.423698571701867,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,15,0.21428571428571427,0,0,0.10487930001181667,1.4982757144545238,17,0.24285714285714285,0,0.0,0,0,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,15,0.21428571428571427,0,0,0.0029765999897790607,0.04252285699684372,0,0.0,17,0.24285714285714285,0,5,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
