packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
1,1,1,20,2976386,2976388,2,11,4,continuous,1161,-887,290,1161,-887,290,1161,-887,290,1,1,1,1,1,1,13534.337929107482,105.187933190904,16.150984012106075,115.05215164544676
1,1,1,21,2984578,2984580,2,11,4,continuous,1309,-739,327,1309,-739,327,1309,-739,327,1,1,1,1,1,1,13306.155464016134,103.08714406003219,16.203565189668026,113.91124996610522
1,1,1,22,2992770,2992772,2,11,4,continuous,1685,-363,421,1685,-363,421,1685,-363,421,1,1,1,1,1,1,12152.419779431599,94.76505647115209,11.737226604923316,109.98890210416532
1,1,1,23,3000962,3000964,2,11,4,continuous,1833,-215,458,1833,-215,458,1833,-215,458,1,1,1,1,1,1,11561.911436931754,89.82929639708254,10.416332910308675,108.45413805961438
1,1,1,24,3009154,3009156,2,11,4,continuous,2009,-39,502,2009,-39,502,2009,-39,502,1,1,1,1,1,1,10908.131644483889,84.59406308880807,9.062049300738943,107.84255418209024
1,1,1,25,3017346,3017348,2,11,4,continuous,969,969,242,969,969,242,969,969,242,1,1,1,1,1,1,12446.397386449447,96.99893077955585,14.982459840907488,108.62081093201898
1,1,1,26,3025538,3025540,2,11,4,continuous,1633,-415,408,1633,-415,408,1633,-415,408,1,1,1,1,1,1,11844.04402629711,91.93541896752231,11.464511054194617,108.07536397709227
1,1,1,27,3033730,3033732,2,11,4,continuous,421,421,105,421,421,105,421,421,105,1,1,1,1,1,1,12022.461958840722,93.05981264688307,11.672217148347002,109.79685447530161
1,1,1,28,3041922,3041924,2,11,4,continuous,385,385,96,385,385,96,385,385,96,1,1,1,1,1,1,12137.665527270234,94.21947577856281,11.309483270318818,112.413873526661
1,1,1,29,3050114,3050116,2,11,4,continuous,677,677,169,677,677,169,677,677,169,1,1,1,1,1,1,12733.859994365135,98.73489602509017,13.775197093748035,113.54779206316752
