dataset,snr_db,seed,packet_index,payload_symbol_index,gt_bin,raw_fft_bin,is_gt,is_savaux,savaux_ok,candidate_rank,gt_savaux_rank,savaux_margin_db,distance_to_gt,distance_to_savaux,savaux_power,log_savaux_power,best_pattern_power,mean_pattern_power,coherent_pattern_power,whitened_pattern_power,stable_pattern_power,hybrid_mean_power,pattern_consistency,mean_gain_vs_savaux,coherent_gain_vs_savaux,whitened_gain_vs_savaux,stable_gain_vs_savaux,hybrid_gain_vs_savaux
0_0_0_10_14_8,-24.0,1,0,3,718,994,0,0,1,10,1,1.6977301606790984,276,276,0.6191599925261961,-0.4793915703473368,0.2492620308689102,0.07281784760383497,0.051091310061879225,0.1826844341235591,0.4344222769144403,0.1243452213612725,0.7016316980397603,0.1176074818832131,0.08251713721589916,0.29505206461774075,0.7016316980397603,0.2008289018383428
0_0_0_10_14_8,-24.0,1,0,3,718,384,0,0,1,11,1,1.6977301606790984,334,334,0.6122183336943046,-0.49066630568907327,0.24482062331149085,0.07006885340432345,0.047506816115502414,0.17436665240606777,0.4150851967496306,0.12046762291542698,0.6780019053739947,0.11445075971754633,0.07759783315999765,0.2848112230711687,0.6780019053739947,0.1967723217115863
0_0_0_10_14_8,-24.0,1,0,3,718,654,0,0,1,12,1,1.6977301606790984,64,64,0.6110944250191466,-0.49250378998469296,0.16422383885873235,0.047451032287191934,0.02835007182224548,0.09718045910050246,0.36510419277312306,0.08988998936827729,0.5974595378802282,0.07764926391810106,0.04639229333724854,0.15902691158973942,0.5974595378802282,0.14709672628000312
0_0_0_10_14_8,-24.0,1,0,3,718,562,0,0,1,13,1,1.6977301606790984,156,156,0.6104209480036538,-0.49360648111508426,0.2123194005462191,0.0729308424156756,0.050625899249345754,0.1891834457263413,0.4237316941601767,0.12404828939812432,0.6941630944120882,0.1194763100024527,0.0829360450602405,0.3099229250651616,0.6941630944120882,0.2032176153256487
0_0_0_10_14_8,-24.0,1,0,3,718,882,0,0,1,14,1,1.6977301606790984,164,164,0.5997564680336751,-0.5112315927707984,0.20933402957078595,0.06616562748294882,0.0396152373491578,0.14662932912787835,0.35909120394829686,0.11480691886108509,0.5987283557367732,0.11032082355005758,0.06605220528765265,0.24448144695897703,0.5987283557367732,0.1914225606227875
0_0_0_10_14_8,-24.0,1,0,3,718,667,0,0,1,15,1,1.6977301606790984,51,51,0.586849102655723,-0.5329875575234423,0.15641399451995835,0.05773155901045215,0.03795398806990471,0.1397277517383516,0.3858074201148297,0.10308407431906373,0.6574218455287729,0.0983754746308619,0.0646741860865902,0.2380982625789638,0.6574218455287729,0.1756568662243288
0_0_0_10_14_8,-24.0,1,0,3,718,403,0,0,1,16,1,1.6977301606790984,315,315,0.554516148401607,-0.5896593501602077,0.12826642360606977,0.05361106402246249,0.026988847736782194,0.09963915486057921,0.27915416658261794,0.09614337635845004,0.5034193636872072,0.09668079852497785,0.04867098607421543,0.17968666042961798,0.5034193636872072,0.17338246439816649
0_0_0_10_14_8,-24.0,1,0,4,86,86,1,1,1,1,1,2.8450532246248312,0,0,1.8962599239976043,0.6398834851527926,0.28479270140485524,0.14023010899872665,0.1241397525908113,0.45568571293116167,1.6786782773952686,0.2689090511990394,0.8852574777071487,0.07395088997245708,0.06546557833121623,0.24030762194800112,0.8852574777071487,0.14181022748829614
0_0_0_10_14_8,-24.0,1,0,4,86,19,0,0,1,2,1,2.8450532246248312,67,67,0.9849009224377738,-0.015214229226785116,0.24676125088204162,0.080239856857173,0.05921096762244175,0.21599472964673208,0.7267826603128197,0.15018990583244085,0.7379246417131241,0.0814699783797213,0.0601187046062318,0.21930604868570286,0.7379246417131241,0.152492400413941
0_0_0_10_14_8,-24.0,1,0,4,86,665,0,0,1,3,1,2.8450532246248312,445,445,0.9293363108276118,-0.0732845918715087,0.2793561900138362,0.0784139244239428,0.06042668469040067,0.2262980798780281,0.7161573998274913,0.14549166664493546,0.770611662843265,0.08437626240398592,0.06502133187563526,0.24350504466623116,0.770611662843265,0.1565543764402891
0_0_0_10_14_8,-24.0,1,0,4,86,248,0,0,1,4,1,2.8450532246248312,162,162,0.9152030931065589,-0.0886092786567216,0.20777746542684944,0.06586664436398165,0.04442104165767084,0.1657170774368579,0.617220979096165,0.1271681998680126,0.6744087555485357,0.07196942936502146,0.048536813295602374,0.18107136949717798,0.6744087555485356,0.13895079772551222
0_0_0_10_14_8,-24.0,1,0,4,86,639,0,0,1,5,1,2.8450532246248312,471,471,0.7768614227857462,-0.2524932935736669,0.2036258415270354,0.07948715568054918,0.061281953328074026,0.22363070470000335,0.598934318959246,0.14054280158301258,0.770966740517927,0.10231832003643108,0.07888402169375738,0.28786434509527625,0.770966740517927,0.18091103182732432
0_0_0_10_14_8,-24.0,1,0,4,86,925,0,0,1,6,1,2.8450532246248312,185,185,0.7080886185195254,-0.34518602572074314,0.1428816560765894,0.05183539960612656,0.03443967717828114,0.12950125807369414,0.4704573249309963,0.09965331303012008,0.664404585282885,0.07320467841229283,0.04863752400128639,0.18288848978317981,0.664404585282885,0.14073565147604777
0_0_0_10_14_8,-24.0,1,0,4,86,247,0,0,1,7,1,2.8450532246248312,161,161,0.6752286629498485,-0.39270388555009417,0.22356060724482144,0.08034079074684955,0.058143918083599054,0.2126183106500686,0.48867380693279583,0.13679328967455417,0.7237160294676224,0.11898308699732542,0.08610996729550505,0.31488341996800046,0.7237160294676224,0.2025880967151927
0_0_0_10_14_8,-24.0,1,0,4,86,446,0,0,1,8,1,2.8450532246248312,360,360,0.6714867119826842,-0.39826105177356247,0.25141165261248516,0.072822157578868,0.04195329837234844,0.15485914239657284,0.38684767545326915,0.12689865302868247,0.5761062260056233,0.1084491417020712,0.062478225739529304,0.23062130587710905,0.5761062260056233,0.18898162951578235
0_0_0_10_14_8,-24.0,1,0,4,86,405,0,0,1,9,1,2.8450532246248312,319,319,0.6192772504273627,-0.4792022060461837,0.1733065546320378,0.06453322191567756,0.03776520954528593,0.13714614343250042,0.36240457914183644,0.11358181201632479,0.5852057037324419,0.10420731888849985,0.06098271738421553,0.22146162052272383,0.5852057037324419,0.18341027696067
0_0_0_10_14_8,-24.0,1,0,4,86,453,0,0,1,10,1,2.8450532246248312,367,367,0.6118164795282155,-0.49132291149176077,0.1938233550623304,0.0642895270157006,0.04412733703083808,0.16337495060697058,0.4199413690906308,0.11291729495474516,0.6863845338302368,0.10507975702987865,0.0721251200439478,0.267032608753776,0.6863845338302368,0.1845607281481173
